mouse_ensembl_gene	mouse_gene_symbol
ENSMUSG00000000093	Tbx2
ENSMUSG00000000094	Tbx4
ENSMUSG00000000125	Wnt3
ENSMUSG00000000126	Wnt9a
ENSMUSG00000000142	Axin2
ENSMUSG00000000184	Ccnd2
ENSMUSG00000000197	Nalcn
ENSMUSG00000000216	Scnn1g
ENSMUSG00000000253	Gmpr
ENSMUSG00000000275	Trim25
ENSMUSG00000000295	Hddc2
ENSMUSG00000000296	Tpd52l1
ENSMUSG00000000303	Cdh1
ENSMUSG00000000305	Cdh4
ENSMUSG00000000317	Bcl6b
ENSMUSG00000000320	Alox12
ENSMUSG00000000359	Rem1
ENSMUSG00000000385	Tmprss2
ENSMUSG00000000416	Cttnbp2
ENSMUSG00000000435	Myf5
ENSMUSG00000000440	Pparg
ENSMUSG00000000486	Sept1
ENSMUSG00000000489	Pdgfb
ENSMUSG00000000531	Grasp
ENSMUSG00000000560	Gabra2
ENSMUSG00000000567	Sox9
ENSMUSG00000000627	Sema4f
ENSMUSG00000000628	Hk2
ENSMUSG00000000686	Abhd15
ENSMUSG00000000693	Loxl3
ENSMUSG00000000732	Icosl
ENSMUSG00000000782	Tcf7
ENSMUSG00000000792	Slc5a5
ENSMUSG00000000805	Car4
ENSMUSG00000000861	Bcl11a
ENSMUSG00000000938	Hoxa10
ENSMUSG00000000957	Mmp14
ENSMUSG00000001076	C1ql4
ENSMUSG00000001082	Mfsd10
ENSMUSG00000001227	Sema6b
ENSMUSG00000001240	Ramp2
ENSMUSG00000001248	Gramd1a
ENSMUSG00000001249	Hpn
ENSMUSG00000001270	Ckb
ENSMUSG00000001300	Efnb2
ENSMUSG00000001333	Sync
ENSMUSG00000001334	Fndc5
ENSMUSG00000001348	Acp5
ENSMUSG00000001417	Rhbg
ENSMUSG00000001444	Tbx21
ENSMUSG00000001494	Sost
ENSMUSG00000001496	Nkx2-1
ENSMUSG00000001497	Pax9
ENSMUSG00000001507	Itga3
ENSMUSG00000001510	Dlx3
ENSMUSG00000001555	Fkbp10
ENSMUSG00000001604	Tcea3
ENSMUSG00000001663	Gstt1
ENSMUSG00000001672	Marveld3
ENSMUSG00000001761	Smo
ENSMUSG00000001773	Folh1
ENSMUSG00000001819	Hoxd13
ENSMUSG00000001823	Hoxd12
ENSMUSG00000001911	Nfix
ENSMUSG00000001918	Slc1a5
ENSMUSG00000001946	Esam
ENSMUSG00000001985	Grik3
ENSMUSG00000001986	Gria3
ENSMUSG00000001988	Npas1
ENSMUSG00000002020	Ltbp2
ENSMUSG00000002028	Kmt2a
ENSMUSG00000002227	Mov10
ENSMUSG00000002233	Rhoc
ENSMUSG00000002249	Tead3
ENSMUSG00000002250	Ppard
ENSMUSG00000002265	Peg3
ENSMUSG00000002384	Bmp8b
ENSMUSG00000002459	Rgs20
ENSMUSG00000002565	Scin
ENSMUSG00000002603	Tgfb1
ENSMUSG00000002633	Shh
ENSMUSG00000002688	Prkd1
ENSMUSG00000002769	Gnmt
ENSMUSG00000002808	Epdr1
ENSMUSG00000002871	Tpra1
ENSMUSG00000002881	Nab1
ENSMUSG00000002897	Il17ra
ENSMUSG00000002997	Prkar2b
ENSMUSG00000003031	Cdkn1b
ENSMUSG00000003134	Tbc1d8
ENSMUSG00000003154	Foxj2
ENSMUSG00000003199	Mpnd
ENSMUSG00000003228	Grk5
ENSMUSG00000003279	Dlgap1
ENSMUSG00000003282	Plag1
ENSMUSG00000003283	Hck
ENSMUSG00000003309	Ap1m2
ENSMUSG00000003410	Elavl3
ENSMUSG00000003418	St8sia6
ENSMUSG00000003452	Bicd1
ENSMUSG00000003469	Phyhip
ENSMUSG00000003476	Crhr2
ENSMUSG00000003500	Impdh1
ENSMUSG00000003581	Rnf215
ENSMUSG00000003746	Man1a
ENSMUSG00000003809	Gcdh
ENSMUSG00000003812	Dnase2a
ENSMUSG00000003849	Nqo1
ENSMUSG00000003863	Ppfia3
ENSMUSG00000003865	Gys1
ENSMUSG00000003934	Efnb3
ENSMUSG00000003948	Mmd
ENSMUSG00000003949	Hlf
ENSMUSG00000003974	Grm3
ENSMUSG00000004031	Brinp2
ENSMUSG00000004043	Stat5a
ENSMUSG00000004044	Ptrf
ENSMUSG00000004110	Cacna1e
ENSMUSG00000004113	Cacna1b
ENSMUSG00000004187	Kifc2
ENSMUSG00000004231	Pax2
ENSMUSG00000004267	Eno2
ENSMUSG00000004383	Large
ENSMUSG00000004558	Ndrg2
ENSMUSG00000004565	Pnpla6
ENSMUSG00000004665	Cnn2
ENSMUSG00000004791	Pgf
ENSMUSG00000004864	Mapk13
ENSMUSG00000004872	Pax3
ENSMUSG00000004885	Crabp2
ENSMUSG00000004892	Bcan
ENSMUSG00000004933	Matk
ENSMUSG00000005043	Sgsh
ENSMUSG00000005054	Cstb
ENSMUSG00000005057	Sh2b2
ENSMUSG00000005078	Jkamp
ENSMUSG00000005251	Ripk4
ENSMUSG00000005320	Fgfr4
ENSMUSG00000005338	Cadm3
ENSMUSG00000005357	Slc1a6
ENSMUSG00000005360	Slc1a3
ENSMUSG00000005373	Mlxipl
ENSMUSG00000005413	Hmox1
ENSMUSG00000005503	Evx1
ENSMUSG00000005533	Igf1r
ENSMUSG00000005534	Insr
ENSMUSG00000005553	Atp4a
ENSMUSG00000005580	Adcy9
ENSMUSG00000005640	Insrr
ENSMUSG00000005873	Reep5
ENSMUSG00000005892	Trh
ENSMUSG00000005917	Otx1
ENSMUSG00000005950	P2rx5
ENSMUSG00000005973	Rcn1
ENSMUSG00000005986	Ankrd13d
ENSMUSG00000006179	Prss16
ENSMUSG00000006219	Fblim1
ENSMUSG00000006270	Vax1
ENSMUSG00000006395	Hyi
ENSMUSG00000006435	Neurl1a
ENSMUSG00000006445	Epha2
ENSMUSG00000006538	Ihh
ENSMUSG00000006586	Runx1t1
ENSMUSG00000006651	Aplp1
ENSMUSG00000006675	P4htm
ENSMUSG00000006800	Sulf2
ENSMUSG00000006958	Chrd
ENSMUSG00000007021	Syngr3
ENSMUSG00000007039	Ddah2
ENSMUSG00000007379	Dennd2c
ENSMUSG00000007480	Mc5r
ENSMUSG00000007594	Hapln4
ENSMUSG00000007610	Gtpbp3
ENSMUSG00000007653	Gabrb2
ENSMUSG00000007805	Twist2
ENSMUSG00000007817	Zmiz1
ENSMUSG00000007908	Hmgcll1
ENSMUSG00000007946	Phox2a
ENSMUSG00000008136	Fhl2
ENSMUSG00000008206	Cers4
ENSMUSG00000008318	Relt
ENSMUSG00000008398	Elk3
ENSMUSG00000008489	Elavl2
ENSMUSG00000008575	Nfib
ENSMUSG00000008734	Gprc5b
ENSMUSG00000008999	Bmp7
ENSMUSG00000009075	Cabp7
ENSMUSG00000009350	Mpo
ENSMUSG00000009376	Met
ENSMUSG00000009378	Slc16a12
ENSMUSG00000009418	Nav1
ENSMUSG00000009471	Myod1
ENSMUSG00000009900	Wnt3a
ENSMUSG00000009905	Kdsr
ENSMUSG00000010066	Cacna2d2
ENSMUSG00000010175	Prox1
ENSMUSG00000010797	Wnt2
ENSMUSG00000010803	Gabra1
ENSMUSG00000010825	Grid2ip
ENSMUSG00000010830	Kdelr3
ENSMUSG00000011008	Mcoln2
ENSMUSG00000011148	Adssl1
ENSMUSG00000011171	Vipr2
ENSMUSG00000011256	Adam19
ENSMUSG00000011267	Zfp296
ENSMUSG00000011305	Plin5
ENSMUSG00000011884	Gltp
ENSMUSG00000012017	Scarf2
ENSMUSG00000012187	Mogat1
ENSMUSG00000012520	Phox2b
ENSMUSG00000013367	Iglon5
ENSMUSG00000013418	B4galnt2
ENSMUSG00000013419	Zfp651
ENSMUSG00000014030	Pax5
ENSMUSG00000014198	Zfp385c
ENSMUSG00000014303	Glis2
ENSMUSG00000014329	Bicc1
ENSMUSG00000014498	Ankrd52
ENSMUSG00000014599	Csf1
ENSMUSG00000014602	Kif1a
ENSMUSG00000014603	Alx3
ENSMUSG00000014704	Hoxa2
ENSMUSG00000014773	Dll1
ENSMUSG00000014776	Nol3
ENSMUSG00000015127	Unkl
ENSMUSG00000015143	Actn1
ENSMUSG00000015202	Cnksr3
ENSMUSG00000015243	Abca1
ENSMUSG00000015305	Sash1
ENSMUSG00000015396	Cd83
ENSMUSG00000015484	Fam163a
ENSMUSG00000015501	Hivep2
ENSMUSG00000015568	Lpl
ENSMUSG00000015579	Nkx2-5
ENSMUSG00000015619	Gata3
ENSMUSG00000015627	Gata5
ENSMUSG00000015647	Lama5
ENSMUSG00000015652	Steap1
ENSMUSG00000015709	Arnt2
ENSMUSG00000015766	Eps8
ENSMUSG00000015879	Fam184b
ENSMUSG00000015890	Amdhd1
ENSMUSG00000015944	Gatsl2
ENSMUSG00000015957	Wnt11
ENSMUSG00000015966	Il17rb
ENSMUSG00000015968	Cacna1d
ENSMUSG00000015981	Stk32c
ENSMUSG00000016028	Celsr1
ENSMUSG00000016087	Fli1
ENSMUSG00000016150	Tenm1
ENSMUSG00000016179	Camk1g
ENSMUSG00000016256	Ctsz
ENSMUSG00000016262	Sertad4
ENSMUSG00000016344	Ppdpf
ENSMUSG00000016346	Kcnq2
ENSMUSG00000016386	Mpped2
ENSMUSG00000016477	E2f3
ENSMUSG00000016496	Cd274
ENSMUSG00000016552	Foxred2
ENSMUSG00000016757	Ttll12
ENSMUSG00000016763	Scube1
ENSMUSG00000016918	Sulf1
ENSMUSG00000016995	Matn4
ENSMUSG00000017007	Rbpjl
ENSMUSG00000017144	Rnd3
ENSMUSG00000017167	Cntnap1
ENSMUSG00000017314	Mpp2
ENSMUSG00000017344	Vtn
ENSMUSG00000017386	Traf4
ENSMUSG00000017400	Stac2
ENSMUSG00000017412	Cacnb4
ENSMUSG00000017491	Rarb
ENSMUSG00000017631	Abr
ENSMUSG00000017639	Rab11fip4
ENSMUSG00000017692	Rhbdl3
ENSMUSG00000017697	Ada
ENSMUSG00000017718	Afmid
ENSMUSG00000017723	Wfdc2
ENSMUSG00000017724	Etv4
ENSMUSG00000017737	Mmp9
ENSMUSG00000017756	Slc12a7
ENSMUSG00000017765	Slc12a4
ENSMUSG00000017817	Jph2
ENSMUSG00000017969	Ptgis
ENSMUSG00000017978	Cadps2
ENSMUSG00000018217	Pmp22
ENSMUSG00000018263	Tbx5
ENSMUSG00000018334	Ksr1
ENSMUSG00000018340	Anxa6
ENSMUSG00000018378	Cuedc1
ENSMUSG00000018398	Sept8
ENSMUSG00000018405	Mrm1
ENSMUSG00000018411	Mapt
ENSMUSG00000018470	Kcnab3
ENSMUSG00000018486	Wnt9b
ENSMUSG00000018500	Adora2b
ENSMUSG00000018507	Trpv2
ENSMUSG00000018566	Slc2a4
ENSMUSG00000018569	Cldn7
ENSMUSG00000018604	Tbx3
ENSMUSG00000018634	Crhr1
ENSMUSG00000018648	Dusp14
ENSMUSG00000018654	Ikzf1
ENSMUSG00000018698	Lhx1
ENSMUSG00000018750	Zbtb4
ENSMUSG00000018822	Sfrp5
ENSMUSG00000018830	Myh11
ENSMUSG00000018845	Unc45b
ENSMUSG00000018849	Wwc1
ENSMUSG00000018865	Sult4a1
ENSMUSG00000018924	Alox15
ENSMUSG00000018973	Hoxb1
ENSMUSG00000018983	E2f2
ENSMUSG00000019124	Scrn1
ENSMUSG00000019158	Tmem160
ENSMUSG00000019194	Scn1b
ENSMUSG00000019230	Lhx9
ENSMUSG00000019235	Rps6kl1
ENSMUSG00000019256	Ahr
ENSMUSG00000019301	Hsd17b1
ENSMUSG00000019312	Grb7
ENSMUSG00000019433	Gipc1
ENSMUSG00000019489	Cd70
ENSMUSG00000019528	Gyg
ENSMUSG00000019539	Rcn3
ENSMUSG00000019647	Sema6a
ENSMUSG00000019718	L3hypdh
ENSMUSG00000019774	Mtrf1l
ENSMUSG00000019775	Rgs17
ENSMUSG00000019779	Frk
ENSMUSG00000019789	Hey2
ENSMUSG00000019803	Nr2e1
ENSMUSG00000019806	Aig1
ENSMUSG00000019817	Plagl1
ENSMUSG00000019832	Rab32
ENSMUSG00000019838	Slc16a10
ENSMUSG00000019848	Popdc3
ENSMUSG00000019849	Prep
ENSMUSG00000019850	Tnfaip3
