Ligand.ApprovedSymbol	ligand_mouse	Receptor.ApprovedSymbol	receptor_mouse
A2M	A2m	LRP1	Lrp1
AANAT	Aanat	MTNR1A	Mtnr1a
AANAT	Aanat	MTNR1B	Mtnr1b
ACE	Ace	AGTR2	Agtr2
ACE	Ace	BDKRB2	Bdkrb2
ADAM10	Adam10	AXL	Axl
ADAM10	Adam10	EPHA3	Epha3
ADAM12	Adam12	ITGA9	Itga9
ADAM12	Adam12	ITGB1	Itgb1
ADAM12	Adam12	SDC4	Sdc4
ADAM15	Adam15	ITGA5	Itga5
ADAM15	Adam15	ITGA9	Itga9
ADAM15	Adam15	ITGAV	Itgav
ADAM15	Adam15	ITGB1	Itgb1
ADAM15	Adam15	ITGB3	Itgb3
ADAM17	Adam17	ERBB4	Erbb4
ADAM17	Adam17	ITGA5	Itga5
ADAM17	Adam17	ITGB1	Itgb1
ADAM17	Adam17	NOTCH1	Notch1
ADAM23	Adam23	ITGA5	Itga5
ADAM23	Adam23	ITGB3	Itgb3
ADAM28	Adam28	ITGA4	Itga4
ADAM2	Adam2	CD9	Cd9
ADAM2	Adam2	ITGA6	Itga6
ADAM2	Adam2	ITGA9	Itga9
ADAM2	Adam2	ITGB1	Itgb1
ADAM2	Adam2	ITGB7	Itgb7
ADAM9	Adam9	ITGA3	Itga3
ADAM9	Adam9	ITGA6	Itga6
ADAM9	Adam9	ITGAV	Itgav
ADAM9	Adam9	ITGB1	Itgb1
ADAM9	Adam9	ITGB5	Itgb5
ADCYAP1	Adcyap1	ADCYAP1R1	Adcyap1r1
ADCYAP1	Adcyap1	SCTR	Sctr
ADCYAP1	Adcyap1	VIPR1	Vipr1
ADCYAP1	Adcyap1	VIPR2	Vipr2
ADIPOQ	Adipoq	ADIPOR1	Adipor1
ADIPOQ	Adipoq	ADIPOR2	Adipor2
ADM2	Adm2	CALCR	Calcr
ADM2	Adm2	CALCRL	Calcrl
ADM2	Adm2	RAMP1	Ramp1
ADM	Adm	CALCR	Calcr
ADM	Adm	CALCRL	Calcrl
ADM	Adm	GPR182	Gpr182
ADM	Adm	MRGPRX2	Mrgpra9
ADM	Adm	RAMP2	Ramp2
