myAUC	avg_diff	power	pct.1	pct.2	gene	cluster
Krt5	0.924	3.9147536191189	0.848	0.911	0.245	Krt5	mTEC
Perp	0.822	1.77608404748249	0.644	0.895	0.619	Perp	mTEC
Clu	0.791	1.88971479297538	0.582	0.77	0.343	Clu	mTEC
Krt17	0.767	2.83520195216043	0.534	0.694	0.269	Krt17	mTEC
Sfn	0.755	1.28957718812152	0.51	0.935	0.833	Sfn	mTEC
Atox1	0.746	0.923052345222544	0.492	0.953	0.869	Atox1	mTEC
S100a14	0.737	1.8046555525098	0.474	0.644	0.217	S100a14	mTEC
Ralbp1	0.729	1.12569373117128	0.458	0.812	0.518	Ralbp1	mTEC
Nfkbia	0.728	1.49515248554651	0.456	0.825	0.645	Nfkbia	mTEC
Tagln2	0.722	1.36262144433841	0.444	0.615	0.233	Tagln2	mTEC
Rhov	0.721	1.64186407133936	0.442	0.466	0.029	Rhov	mTEC
Fxyd3	0.717	1.18532041220932	0.434	0.793	0.577	Fxyd3	mTEC
Spint2	0.714	0.918580229362939	0.428	0.798	0.529	Spint2	mTEC
Krtdap	0.711	3.58158732491646	0.422	0.461	0.057	Krtdap	mTEC
Tnfaip2	0.709	1.5034747202455	0.418	0.474	0.067	Tnfaip2	mTEC
Cd9	0.708	1.20077198759511	0.416	0.62	0.277	Cd9	mTEC
Tmsb4x	0.701	0.687485578076943	0.402	0.997	0.991	Tmsb4x	mTEC
Zfp36	0.697	0.93210207934159	0.394	0.804	0.533	Zfp36	mTEC
Cmtm8	0.696	1.30357134058178	0.392	0.476	0.099	Cmtm8	mTEC
Krt19	0.696	1.97607610530559	0.392	0.471	0.101	Krt19	mTEC
S100a16	0.696	1.53650552841742	0.392	0.558	0.201	S100a16	mTEC
Mt1	0.694	3.20216078042681	0.388	0.414	0.035	Mt1	mTEC
Vim	0.692	1.5399441769936	0.384	0.508	0.158	Vim	mTEC
Fos	0.689	1.08900239401364	0.378	0.809	0.606	Fos	mTEC
Kcnj15	0.684	1.08935068570626	0.368	0.497	0.15	Kcnj15	mTEC
Gm266	0.683	1.05007677452061	0.366	0.56	0.233	Gm266	mTEC
Emp2	0.68	1.48315813463258	0.36	0.44	0.098	Emp2	mTEC
Tkt	0.68	0.793460663278245	0.36	0.741	0.531	Tkt	mTEC
App	0.675	0.965638701054221	0.35	0.702	0.449	App	mTEC
H2-D1	0.674	1.79599050512958	0.348	0.518	0.212	H2-D1	mTEC
Notch1	0.672	1.06489901758311	0.344	0.437	0.108	Notch1	mTEC
Hspb1	0.67	1.77284996627813	0.34	0.463	0.156	Hspb1	mTEC
