cell_type,marker
AntigenPresentation,B2m
AntigenPresentation,Cd74
AntigenPresentation,H2ab1
cell cycle,Ccna1
cell cycle,Ccnb1
cell cycle,Ccnc
cell cycle,Ccnd1
cell cycle,Cdk1
cell cycle,Cdk2
cell cycle,Cdk3
cell cycle,Cdk4
cell cycle,Cenpe
cell cycle,Tuba1c
cTEC,Enpep
cTEC,Cd249
cTEC,Ertr4
cTEC,B5t
cTEC/immature mTEC,Cd205
earlier dev,Bmp4
earlier dev,Cldn3
earlier dev,Cldn4
earlier dev,Cldn6
earlier dev,Dll4
earlier dev,Dmrt2
earlier dev,Dmrt3
earlier dev,Eya1
earlier dev,Foxa1
earlier dev,Foxa2
earlier dev,Foxa3
earlier dev,Foxg1
earlier dev,Gata2
earlier dev,Gata3
earlier dev,Gata6
earlier dev,Nkx2-1
earlier dev,Nkx2-3
earlier dev,Nkx2-6
earlier dev,Nkx2-8
earlier dev,Nkx2-9
earlier dev,Pax1
earlier dev,Pax8
earlier dev,Pax9
earlier dev,Plet1
earlier dev,Shh
earlier dev,Six1
earlier dev,Sox17
earlier dev,Sox2
earlier dev,Tbx1
earlier dev,Tbx3
earlier dev,Trp63
earlier dev,Vgll2
earlier dev,Wnt4
earlier dev,Wnt5a
Endothelial,Cd34
Endothelial,Egfl7
Endothelial,Emcn
Endothelial,Esam
female,Xist
GeneralEpithelial,Epcam
Housekeeping,Actb
Housekeeping,Gapdh
Housekeeping,Hprt
mature TEC,Aire
Mesenchymal,Ertr7
Mesenchymal,Pdgfra
Mesenchymal,Vim
Mesenchymal,Col3a1
mTEC,Nfkbia
mTEC,Tbata
mTEC,Ubd
Muscle,Acta2
Muscle,Myl1
Muscle,Myod1
Muscle,Myog
Muscle,Tnnc1
Muscle,Tnnt1
Muscle,Tpm2
Parathyroid,Chga
Parathyroid,Gcm2
Parathyroid,Mafb
Parathyroid,Pth
Parathyroid?,Pth1r
Parathyroid?,Pth2r
NK cells,Klrd1
BloodLeukocytes,Cd52
BloodLeukocytes,Plac8
BloodLeukocytes,Ptprc
BloodMacrophages,Apoe
BloodMacrophages,Ctsb
BloodMacrophages,Lyz2
Tcell,Ptcra
Tcell,Cd25  
Tcell,Cd3
Tcell,Cd44
Tcell,Cd8a
Tcell,Cd4
TEP,Cd40
Thymus,Crip3
Thymus,Ctsl
Thymus,Foxn1
Thymus,Il7
Thymus,Isl1
Thymus,Krt17
Thymus,Krt5
Thymus,Krt8
Thymus,Pdlim1
Thymus,Prss16
Thymus,Psmb11
Thymus,Sfn
