species	MGI	UniProtKB	gene	ID
MOUSE	2136746	Q91UZ8	MCG141285	Pcdhb11
MOUSE	88513	Q64735	Complement component receptor 1-like protein	Cr1l
MOUSE	1858236	Q91ZI0	Cadherin EGF LAG seven-pass G-type receptor 3	Celsr3
MOUSE	3045328	Q8BQH6	CUB domain-containing protein 2	Cdcp2
MOUSE	104750	Q810U4	Neuronal cell adhesion molecule	Nrcam
MOUSE	2684890	G3UW88	MCG65130	Gm44
MOUSE	2442559	A2RT91	Ankyrin and armadillo repeat-containing protein	Ankar
MOUSE	895068	Q9CQW5	Galectin-2	Lgals2
MOUSE	102768	P21956	Lactadherin	Mfge8
MOUSE	2679719	Q3UJZ3	Armadillo repeat-containing protein 7	Armc7
MOUSE	3576487	Q5DRQ8	Fc receptor-like B	Fcrlb
MOUSE	1913359	Q9D8C2	Tetraspanin-13	Tspan13
MOUSE	96616	P26011	Integrin beta-7	Itgb7
MOUSE	3036291	Q80UI7	"C-type lectin domain family 4, member a1"	Clec4a1
MOUSE	107435	P97326	Cadherin-6	Cdh6
MOUSE	109430	Q60625	Intercellular adhesion molecule 5	Icam5
MOUSE	2157782	Q8VHP6	Cadherin-related family member 1	Cdhr1
MOUSE	1935216	Q91XY4	Protocadherin gamma-A4	Pcdhga4
MOUSE	96617	Q61735	Leukocyte surface antigen CD47	Cd47
MOUSE	2661061	Q7TMD7	Desmoglein-4	Dsg4
MOUSE	1929897	Q9ER65	Calsyntenin-2	Clstn2
MOUSE	1321395	Q8K4G1	Latent-transforming growth factor beta-binding protein 4	Ltbp4
MOUSE	105099	Q61398	Procollagen C-endopeptidase enhancer 1	Pcolce
MOUSE	2681862	A2AAJ9	Obscurin	Obscn
MOUSE	1916060	Q7TPW1	Nexilin	Nexn
MOUSE	1924558	Q8BJU2	Tetraspanin-9	Tspan9
MOUSE	1922875	Q9NWG9	Melanoma-associated antigen H1	Mageh1
MOUSE	1915731	Q3TEW6	Myelin protein zero-like protein 1	Mpzl1
MOUSE	2136754	Q91VD8	MCG141290	Pcdhb17
MOUSE	88356	P10287	Cadherin-3	Cdh3
MOUSE	1922602	Q99PA7	MCG117379	4930550L24Rik
MOUSE	1346338	Q9R0M1	Chemokine XC receptor 1	Xcr1
MOUSE	2157948	Q91ZW7	CD209 antigen-like protein E	Cd209e
MOUSE	2159681	Q8R183	T-cell immunoglobulin and mucin domain-containing protein 2	Timd2
MOUSE	1914047	Q9CPW0	Contactin-associated protein-like 2	Cntnap2
MOUSE	2687406	Q7M729	Sodium channel subunit beta-4	Scn4b
MOUSE	1329025	O35474	EGF-like repeat and discoidin I-like domain-containing protein 3	Edil3
MOUSE	1913897	Q9CPR8	Melanoma-associated antigen G1	Ndnl2
MOUSE	1336885	Q18PI6	SLAM family member 5	Cd84
MOUSE	2150309	Q4VA61	Down syndrome cell adhesion molecule-like protein 1 homolog	Dscaml1
MOUSE	1096391	Q9CS84	Neurexin-1	Nrxn1
MOUSE	2136735	Q91Y00	Protein Pcdhb2	Pcdhb2
MOUSE	1914055	Q99J59	Tetraspanin-1	Tspan1
MOUSE	1924977	Q9CX63	Uncharacterized protein C17orf99 homolog	unassigned
MOUSE	96964	Q61847	Meprin A subunit beta	Mep1b
MOUSE	2157942	Q91ZX1	CD209 antigen-like protein A	Cd209a
MOUSE	104849	Q61476	Complement decay-accelerating factor transmembrane isoform	Cd55b
MOUSE	2448715	Q810W6	C-X-C chemokine receptor type 1	Cxcr1
MOUSE	2685011	E9PVD3	Protein Dchs1	Dchs1
MOUSE	107182	P51682	C-C chemokine receptor type 5	Ccr5
MOUSE	1929895	Q9EPL2	Calsyntenin-1	Clstn1
MOUSE	2151224	Q924C5	Alpha-protein kinase 3	Alpk3
MOUSE	1349165	P43407	Syndecan-2	Sdc2
MOUSE	1858235	Q9R0M0	Cadherin EGF LAG seven-pass G-type receptor 2	Celsr2
MOUSE	1095414	Q9R100	Cadherin-17	Cdh17
MOUSE	2181676	Q924I3	Atypical chemokine receptor 4	Ackr4
MOUSE	1196325	Q8QZY6	Tetraspanin-14	Tspan14
MOUSE	2183572	Q99P47	Contactin-associated protein-like 4	Cntnap4
MOUSE	96611	P11835	Integrin beta-2	Itgb2
MOUSE	2661445	Q65CL1	Catenin alpha-3	Ctnna3
MOUSE	1917060	Q7TS58	Antigen presenting cell lectin-like receptor A2	Clec4b1
MOUSE	2685047	D3YXG0	Protein Hmcn1	Hmcn1
MOUSE	2441680	B1AWJ5	Transmembrane protein 8B	Tmem8b
MOUSE	1933397	Q9EQY5	IFGP2 (Precursor)	Fcrls
MOUSE	2442849	E9Q622	Protein Pcdh11x	Pcdh11x
MOUSE	1914375	Q9CQ88	Tetraspanin-31	Tspan31
MOUSE	2136759	Q91V48	MCG1033322	Pcdhb21
MOUSE	99502	O08999	Latent-transforming growth factor beta-binding protein 2	Ltbp2
MOUSE	109173	P55849	Desmocollin-1	Dsc1
MOUSE	2135283	Q05BQ1	Protein turtle homolog A	Igsf9
MOUSE	1921507	Q9D7W4	Tetraspanin-17	Tspan17
MOUSE	2679260	Q80YA8	Protein crumbs homolog 2	Crb2
MOUSE	1201402	P56484	C-C chemokine receptor type 8	Ccr8
MOUSE	3643170	Q7TPX9	Galectin-related protein B	Lgalslb
MOUSE	2151153	Q6AZB0	Brother of CDO	Boc
MOUSE	2448533	D3YX43	V-set and immunoglobulin domain-containing protein 10	Vsig10
MOUSE	1918937	Q9DCF1	Transmembrane protein 25	Tmem25
MOUSE	103177	P27573	Myelin protein P0	Mpz
MOUSE	1919871	Q9CZG9	PDZ domain-containing protein 11	Pdzd11
MOUSE	98912	Q9Z2C6	Uroplakin-1b	Upk1b
MOUSE	1350360	Q9JHH2	Tetraspanin-32	Tspan32
MOUSE	1891428	Q99PJ1	Protocadherin-15	Pcdh15
