species	MGI	UniProtKB	gene	ID
MOUSE	1354953	Q9WVQ1	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2"	Magi2
MOUSE	2442559	A2RT91	Ankyrin and armadillo repeat-containing protein	Ankar
MOUSE	1276110	O88552	Claudin-2	Cldn2
MOUSE	109377	O08856	RNA polymerase II elongation factor ELL	Ell
MOUSE	107435	P97326	Cadherin-6	Cdh6
MOUSE	2157782	Q8VHP6	Cadherin-related family member 1	Cdhr1
MOUSE	1859637	Q9QZS7	Nephrin	Nphs1
MOUSE	2661061	Q7TMD7	Desmoglein-4	Dsg4
MOUSE	2685951	Q5DU14	Unconventional myosin-XVI	Myo16
MOUSE	1891396	Q80W68	Kin of IRRE-like protein 1	Kirrel
MOUSE	1339969	Q9WUS4	Gap junction alpha-10 protein	Gja10
MOUSE	2681173	G3XA20	"MCG130431, isoform CRA_a"	Grip2
MOUSE	88356	P10287	Cadherin-3	Cdh3
MOUSE	1927223	Q9Z101	Partitioning defective 6 homolog alpha	Pard6a
MOUSE	2153041	Q921C1	Gap junction gamma-3 protein	Gjc3
MOUSE	1859286	Q9Z260	Claudin-8	Cldn8
MOUSE	1860425	Q9Z0S3	Claudin-14	Cldn14
MOUSE	2386681	Q6P7F1	MAGUK p55 subfamily member 4	Mpp4
MOUSE	2685011	E9PVD3	Protein Dchs1	Dchs1
MOUSE	98759	P39447	Tight junction protein ZO-1	Tjp1
MOUSE	3648403	B1AZQ8	MCG1042360	Gm16390
MOUSE	1919158	Q9D7D7	Claudin-23	Cldn23
MOUSE	2442334	Q7TSU7	Kin of IRRE-like protein 2	Kirrel2
MOUSE	1095414	Q9R100	Cadherin-17	Cdh17
MOUSE	1918478	E9Q9R9	Protein Dlg5	Dlg5
MOUSE	3033992	Q9ET38	Claudin-19	Cldn19
MOUSE	105976	Q99104	Unconventional myosin-Va	Myo5a
MOUSE	1921184	A2ANA3	MCG55106	4930412D23Rik
MOUSE	1341872	Q9Z0U1	Tight junction protein ZO-2	Tjp2
MOUSE	1339709	P13541	Myosin-3	Myh3
MOUSE	1343458	Q9Z1Y4	Thyroid receptor-interacting protein 6	Trip6
MOUSE	109173	P55849	Desmocollin-1	Dsc1
MOUSE	95715	P28235	Gap junction alpha-4 protein	Gja4
MOUSE	1920745	A2ARK7	Protein Samt3	Samt3
MOUSE	1922927	Q9D7U6	Claudin-22	Cldn22
MOUSE	1919871	Q9CZG9	PDZ domain-containing protein 11	Pdzd11
MOUSE	104785	Q64331	Unconventional myosin-VI	Myo6
MOUSE	107735	Q8C170	Unconventional myosin-IXa	Myo9a
MOUSE	1913102	Q9Z0S4	Claudin-13	Cldn13
MOUSE	1927237	P59242	Cingulin	Cgn
MOUSE	107716	F8VQB6	Unconventional myosin-X	Myo10
MOUSE	88355	P15116	Cadherin-2	Cdh2
MOUSE	1915428	Q6AW69	Cingulin-like protein 1	Cgnl1
MOUSE	1309489	O70589	Peripheral plasma membrane protein CASK	Cask
MOUSE	107434	P97291	Cadherin-8	Cdh8
MOUSE	2183438	Q3UKU1	RNA polymerase II elongation factor ELL2	Ell2
MOUSE	1339711	Q5SX40	Myosin-1	Myh1
MOUSE	106612	Q9WTI7	Unconventional myosin-Ic	Myo1c
MOUSE	1927339	Q9JLB2	MAGUK p55 subfamily member 5	Mpp5
MOUSE	95722	Q02738	Gap junction beta-4 protein	Gjb4
MOUSE	1313314	O35054	Claudin-4	Cldn4
MOUSE	107728	Q5SYD0	Unconventional myosin-Id	Myo1d
MOUSE	1346069	Q9Z0M3	Cadherin-20	Cdh20
MOUSE	1924340	Q8VCR9	Occludin/ELL domain-containing protein 1	Ocel1
MOUSE	99551	Q9WTR5	Cadherin-13	Cdh13
MOUSE	2448580	Q1EG27	Myosin-IIIb	Myo3b
MOUSE	1890219	Q99PF4	Cadherin-23	Cdh23
MOUSE	2135606	Q9JK84	Partitioning defective 6 homolog gamma	Pard6g
MOUSE	106672	P33146	Cadherin-15	Cdh15
MOUSE	104510	P97479	Unconventional myosin-VIIa	Myo7a
MOUSE	2444990	Q8BSD4	Gap junction delta-4 protein	Gjd4
MOUSE	1339713	Q5SX39	Myosin-4	Myh4
MOUSE	1927340	Q9JLB0	MAGUK p55 subfamily member 6	Mpp6
MOUSE	99499	O35902	Desmoglein-3	Dsg3
MOUSE	3779684	G3UW52	MCG59551	Gm7157
MOUSE	106624	Q9QY06	Unconventional myosin-IXb	Myo9b
MOUSE	1921502	Q9D7A8	Armadillo repeat-containing protein 1	Armc1
MOUSE	88354	P09803	Cadherin-1	Cdh1
MOUSE	1927091	Q5SUA5	Unconventional myosin-Ig	Myo1g
MOUSE	1329044	Q9Z0G9	Claudin-3	Cldn3
MOUSE	1859644	Q4KL35	PDZ domain-containing protein MAGIX	Magix
MOUSE	2444555	Q8CDI6	Coiled-coil domain-containing protein 158	Ccdc158
MOUSE	1919290	Q8VHF2	Cadherin-related family member 5	Cdhr5
MOUSE	107717	Q8VDD5	Myosin-9	Myh9
MOUSE	3588198	E9Q3A7	Protein Cdh19	Cdh19
MOUSE	2446166	Q3UZP0	MARVEL domain-containing protein 2	Marveld2
MOUSE	1334209	O54851	Gap junction delta-2 protein	Gjd2
MOUSE	1351650	Q9QXY1	Tight junction protein ZO-3	Tjp3
MOUSE	106183	Q61146	Occludin	Ocln
MOUSE	1928330	Q6PFX6	Cadherin-24	Cdh24
MOUSE	1913101	Q9Z0S6	Claudin-10	Cldn10
MOUSE	1929209	P56857	Claudin-18	Cldn18
MOUSE	2384875	Q8K389	CDK5 regulatory subunit-associated protein 2	Cdk5rap2
MOUSE	95717	Q6S5G4	Gap junction alpha-6 protein	Gja6
MOUSE	106598	P21271	Unconventional myosin-Vb	Myo5b
MOUSE	2384150	Q91YD1	Gap junction delta-3 protein	Gjd3
MOUSE	1930780	Q61879	Myosin-10	Myh10
MOUSE	1914674	Q9D6A1	Unconventional myosin-Ih	Myo1h
MOUSE	3645501	J3QJW5	Protein Gm5167	Gm5167
MOUSE	2153060	Q8BQU6	Gap junction gamma-2 protein	Gjc2
MOUSE	107588	P70689	Gap junction beta-6 protein	Gjb6
MOUSE	2443376	Q8BIZ0	Protocadherin-20	Pcdh20
MOUSE	107711	P70248	Unconventional myosin-If	Myo1f
MOUSE	107732	O88329	Unconventional myosin-Ia	Myo1a
MOUSE	1276109	O88551	Claudin-1	Cldn1
MOUSE	1344366	E9Q9Q6	Protein Cdh18	Cdh18
MOUSE	103072	Q62523	Zyxin	Zyx
MOUSE	103221	P55292	Desmocollin-2	Dsc2
MOUSE	3712484	D3YXJ9	Claudin	Cldn24
MOUSE	105941	P70290	55 kDa erythrocyte membrane protein	Mpp1
MOUSE	1859285	Q9Z261	Claudin-7	Cldn7
MOUSE	107709	Q99MZ6	Unconventional myosin-VIIb	Myo7b
MOUSE	106621	E9Q634	Unconventional myosin-Ie	Myo1e
MOUSE	2148742	Q925N4	Claudin-16	Cldn16
MOUSE	2441849	Q8BFW7	Lipoma-preferred partner homolog	Lpp
MOUSE	1914411	G5E861	Sodium channel and clathrin linker 1	Sclt1
MOUSE	3644765	J3QNM1	Protein Gm6604	Gm6604
MOUSE	1339967	B1AR69	Protein Myh13	Myh13
MOUSE	94930	Q61495	Desmoglein-1-alpha	Dsg1a
MOUSE	1922989	Q8BVD5	MAGUK p55 subfamily member 7	Mpp7
MOUSE	3710243	A2AQP0	Myosin-7B	Myh7b
MOUSE	1203522	Q6RHR9	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1"	Magi1
MOUSE	3643515	E9Q264	Protein Myh15	Myh15
MOUSE	2664357	Q7TSF1	Desmoglein-1-beta	Dsg1b
MOUSE	1913446	Q5SV80	Unconventional myosin-XIX	Myo19
MOUSE	1923993	Q9CX92	Gap junction epsilon-1 protein	Gje1
MOUSE	1341843	Q9WTP5	Cadherin-22	Cdh22
MOUSE	1921452	Q71FD7	Filamin-binding LIM protein 1	Fblim1
MOUSE	95713	P23242	Gap junction alpha-1 protein	Gja1
MOUSE	95721	P28231	Gap junction beta-3 protein	Gjb3
MOUSE	1922321	Q9D519	Protein 4930524N10Rik	4930524N10Rik
MOUSE	1194993	P55850	Desmocollin-3	Dsc3
MOUSE	1330858	O88951	Protein lin-7 homolog B	Lin7b
MOUSE	1920311	Q8K193	Protein 3110007F17Rik	3110007F17Rik
MOUSE	2183924	Q8K3H5	Myosin-IIIa	Myo3a
MOUSE	1922435	Q9D4X6	Protein Samt4	Samt4
MOUSE	107752	P46735	Unconventional myosin-Ib	Myo1b
MOUSE	2664358	Q7TSF0	Desmoglein-1-gamma	Dsg1c
MOUSE	95719	P28230	Gap junction beta-1 protein	Gjb1
MOUSE	95723	Q02739	Gap junction beta-5 protein	Gjb5
MOUSE	102643	O08638	Myosin-11	Myh11
MOUSE	3709336	A2BEE3	Protein Gm15140	Gm15140
MOUSE	107433	P70407	Cadherin-9	Cdh9
MOUSE	2135609	Q8JZS0	Protein lin-7 homolog A	Lin7a
MOUSE	109503	Q5RJH3	Cadherin-12	Cdh12
MOUSE	1923484	Q9EQJ9	"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3"	Magi3
MOUSE	2442485	E9Q1F5	Protein Myo5c	Myo5c
MOUSE	2442792	Q8BM92	Cadherin-7	Cdh7
MOUSE	2155600	Q91Z83	Myosin-7	Myh7
MOUSE	1921303	Q925T6	Glutamate receptor-interacting protein 1	Grip1
MOUSE	1922237	A2AGU5	MCG52469	4930468A15Rik
MOUSE	1921626	E9PV66	Protein Myo18b	Myo18b
MOUSE	2135605	Q9JK83	Partitioning defective 6 homolog beta	Pard6b
MOUSE	2687323	E9Q7P9	Protein Cdhr2	Cdhr2
MOUSE	3648293	Q80ZS5	MCG1035519	Gm4937
MOUSE	99218	P39038	Cadherin-4	Cdh4
MOUSE	106925	Q60771	Claudin-11	Cldn11
MOUSE	95716	Q01231	Gap junction alpha-5 protein	Gja5
MOUSE	99953	P28236	Gap junction alpha-8 protein	Gja8
MOUSE	1919210	Q6URW6	Myosin-14	Myh14
MOUSE	1920597	Q9D9N2	MCG1042410	1700042B14Rik
MOUSE	1916014	Q8BL00	Cadherin-related family member 3	Cdhr3
MOUSE	1196466	O55111	Desmoglein-2	Dsg2
MOUSE	1276112	O54942	Claudin-5	Cldn5
MOUSE	1913100	Q9Z0S7	Claudin-9	Cldn9
MOUSE	95714	Q64448	Gap junction alpha-3 protein	Gja3
MOUSE	2684999	B9EKI3	TATA element modulatory factor	Tmf1
MOUSE	107436	P70408	Cadherin-10	Cdh10
MOUSE	1328354	O88910	MAGUK p55 subfamily member 3	Mpp3
MOUSE	104692	F7BJK1	Protein Pcdh1 (Fragment)	Pcdh1
MOUSE	1858257	Q9WV34	MAGUK p55 subfamily member 2	Mpp2
MOUSE	1859284	Q9Z262	Claudin-6	Cldn6
MOUSE	2686927	Q3TMW1	Coiled-coil domain-containing protein 102A	Ccdc102a
MOUSE	1927144	Q8VEB2	Protein salvador homolog 1	Sav1
MOUSE	3646587	Q497M0	"Predicted gene, EG434881"	Samt2
MOUSE	1914953	Q8BR86	Kin of IRRE-like protein 3	Kirrel3
MOUSE	1913103	Q9Z0S5	Claudin-15	Cldn15
MOUSE	99217	P55288	Cadherin-11	Cdh11
MOUSE	1330839	O88952	Protein lin-7 homolog C	Lin7c
MOUSE	2652030	Q8BXA6	Claudin-17	Cldn17
MOUSE	3588232	Q3V0X2	4930428D18Rik protein	4930428D18Rik
MOUSE	95720	Q00977	Gap junction beta-2 protein	Gjb2
MOUSE	3646757	G5E8X0	Claudin	Cldn20
MOUSE	2673679	Q80VR2	RNA polymerase II elongation factor ELL3	Ell3
MOUSE	1925342	A2BED8	Protein 4921511M17Rik	Samt1
MOUSE	1339710	G3UW82	"MCG140437, isoform CRA_d"	Myh2
MOUSE	1261811	Q9QZZ4	Unconventional myosin-XV	Myo15a
MOUSE	2667185	Q9JMH9	Unconventional myosin-XVIIIa	Myo18a
MOUSE	105057	P55284	Cadherin-5	Cdh5
MOUSE	1339712	P13542	Myosin-8	Myh8
MOUSE	95718	P28229	Gap junction gamma-1 protein	Gjc1
MOUSE	1891434	Q80YT7	Myomegalin	Pde4dip
MOUSE	2685856	P59862	Cadherin-like protein 26	Cdh26
MOUSE	97255	Q02566	Myosin-6	Myh6
