species	MGI	UniProtKB	gene	ID
MOUSE	1918195	B2RPV6	Multimerin-1	Mmrn1
MOUSE	107189	P29699	Alpha-2-HS-glycoprotein	Ahsg
MOUSE	94872	P28654	Decorin	Dcn
MOUSE	2389180	Q80XG9	Leucine-rich repeat transmembrane neuronal protein 4	Lrrtm4
MOUSE	1925911	Q8BVD7	Complement C1q tumor necrosis factor-related protein 7	C1qtnf7
MOUSE	3045328	Q8BQH6	CUB domain-containing protein 2	Cdcp2
MOUSE	104687	Q9QZR9	Collagen alpha-4(IV) chain	Col4a4
MOUSE	1298405	P84091	AP-2 complex subunit mu	Ap2m1
MOUSE	1922523	Q9DBD5	"Proline-, glutamic acid- and leucine-rich protein 1"	Pelp1
MOUSE	1337063	Q9JKC7	AP-4 complex subunit mu-1	Ap4m1
MOUSE	105382	Q61001	Laminin subunit alpha-5	Lama5
MOUSE	1202398	O35367	Keratocan	Kera
MOUSE	2385618	A6H6E2	Multimerin-2	Mmrn2
MOUSE	1920618	Q923P0	Collagen alpha-1(XX) chain	Col20a1
MOUSE	88468	Q01149	Collagen alpha-2(I) chain	Col1a2
MOUSE	102768	P21956	Lactadherin	Mfge8
MOUSE	96616	P26011	Integrin beta-7	Itgb7
MOUSE	2685352	Q6P3Y9	Podocan-like protein 1	Podnl1
MOUSE	1924118	Q5M8M9	Leucine-rich repeat-containing protein 52	Lrrc52
MOUSE	1918985	Q8BUI3	Leucine-rich repeat and WD repeat-containing protein 1	LRWD1
MOUSE	2442252	Q8VI56	Low-density lipoprotein receptor-related protein 4	Lrp4
MOUSE	88464	P25318	Collagen alpha-2(VIII) chain	Col8a2
MOUSE	3045226	Q6R5P0	Toll-like receptor 11	Tlr11
MOUSE	1321395	Q8K4G1	Latent-transforming growth factor beta-binding protein 4	Ltbp4
MOUSE	105099	Q61398	Procollagen C-endopeptidase enhancer 1	Pcolce
MOUSE	1341296	Q9EPW9	Toll-like receptor 6	Tlr6
MOUSE	2449569	P59384	A disintegrin and metalloproteinase with thrombospondin motifs 15	Adamts15
MOUSE	3605040	Q8BHA1	Leucine-rich repeat-containing protein 24	Lrrc24
MOUSE	2389008	Q80T21	ADAMTS-like protein 4	Adamtsl4
MOUSE	1922075	Q6P7W0	Sentrin-specific protease 6	Senp6
MOUSE	1914047	Q9CPW0	Contactin-associated protein-like 2	Cntnap2
MOUSE	1329025	O35474	EGF-like repeat and discoidin I-like domain-containing protein 3	Edil3
MOUSE	2387643	Q3UK10	B9 domain-containing protein 2	B9d2
MOUSE	1096391	Q9CS84	Neurexin-1	Nrxn1
MOUSE	1341628	Q9WU60	Attractin	Atrn
MOUSE	104327	P97466	Noggin	Nog
MOUSE	96964	Q61847	Meprin A subunit beta	Mep1b
MOUSE	1919006	Q9DBB9	Carboxypeptidase N subunit 2	Cpn2
MOUSE	2386139	Q9EPX2	Papilin	Papln
MOUSE	1346321	Q9R001	A disintegrin and metalloproteinase with thrombospondin motifs 5	Adamts5
MOUSE	2146149	Q4VBE4	Pikachurin	Egflam
MOUSE	1349165	P43407	Syndecan-2	Sdc2
MOUSE	2183572	Q99P47	Contactin-associated protein-like 4	Cntnap4
MOUSE	1341295	Q9EPQ1	Toll-like receptor 1	Tlr1
MOUSE	99916	Q61292	Laminin subunit beta-2	Lamb2
MOUSE	2389177	Q8BZ81	Leucine-rich repeat transmembrane neuronal protein 3	Lrrtm3
MOUSE	88454	P02463	Collagen alpha-1(IV) chain	Col4a1
MOUSE	2669796	Q7M6Z0	Reticulon-4 receptor-like 2	Rtn4rl2
MOUSE	1923724	Q8BMS2	Spondin-2	Spon2
MOUSE	1347356	Q8C9W3	A disintegrin and metalloproteinase with thrombospondin motifs 2	Adamts2
MOUSE	3603594	Q8BLU0	Fibronectin leucine rich transmembrane protein 2	Flrt2
MOUSE	96611	P11835	Integrin beta-2	Itgb2
MOUSE	2149209	Q8K561	Otoancorin	Otoa
MOUSE	1341264	Q9Z0L0	Trophoblast glycoprotein	Tpbg
MOUSE	2685177	Q6DIB5	Multiple epidermal growth factor-like domains protein 10	Megf10
MOUSE	1921761	Q9CXD9	Leucine-rich repeat-containing protein 17	Lrrc17
MOUSE	1298219	O88200	C-type lectin domain family 11 member A	Clec11a
MOUSE	96743	P02469	Laminin subunit beta-1	Lamb1
MOUSE	95583	P35378	Follicle-stimulating hormone receptor	Fshr
MOUSE	1888992	Q61468	Mesothelin	Msln
MOUSE	99502	O08999	Latent-transforming growth factor beta-binding protein 2	Ltbp2
MOUSE	2178743	Q8R4U0	Stabilin-2	Stab2
MOUSE	1916102	Q3TYX2	LRRN4 C-terminal-like protein	Lrrn4cl
MOUSE	1924155	Q91XL1	Leucine-rich HEV glycoprotein (Precursor)	Lrg1
MOUSE	1914695	Q8R066	Complement C1q tumor necrosis factor-related protein 4	C1qtnf4
MOUSE	2156367	Q99MB1	Toll-like receptor 3	Tlr3
MOUSE	1928392	Q9QZZ6	Dermatopontin	Dpt
MOUSE	2179942	E9PX39	Protein Adamts14	Adamts14
MOUSE	1315203	Q80TR4	Slit homolog 1 protein	Slit1
MOUSE	2445154	P59383	Leucine-rich repeat neuronal protein 4	Lrrn4
MOUSE	2429637	Q69Z28	A disintegrin and metalloproteinase with thrombospondin motifs 16	Adamts16
MOUSE	96615	Q9Z0T9	Integrin beta-6	Itgb6
MOUSE	2152695	B1AVK5	Protein Col4a6	Col4a6
MOUSE	2661375	Q8K0S5	Reticulon-4 receptor-like 1	Rtn4rl1
MOUSE	107935	P70193	Leucine-rich repeats and immunoglobulin-like domains protein 1	Lrig1
MOUSE	1920480	Q8CJ69	BMP-binding endothelial regulator protein	Bmper
MOUSE	2676278	Q6PZE0	Mucin-19	Muc19
MOUSE	1346044	Q9WVM6	Tolloid-like protein 2	Tll2
MOUSE	1891468	A2ARI4	Leucine-rich repeat-containing G-protein coupled receptor 4	Lgr4
MOUSE	1913945	Q99MQ4	Asporin	Aspn
MOUSE	2389174	Q8BGA3	Leucine-rich repeat transmembrane neuronal protein 2	Lrrtm2
MOUSE	2685907	Q3V0L5	Leucine-rich repeat-containing protein 43	Lrrc43
MOUSE	3646013	Q0V8T7	Contactin-associated protein like 5-3	Cntnap5c
MOUSE	1921763	Q8BNJ6	Neuropilin and tolloid-like protein 2	Neto2
MOUSE	88447	Q64739	Collagen alpha-2(XI) chain	Col11a2
MOUSE	1337006	Q9QUP5	Hyaluronan and proteoglycan link protein 1	Hapln1
MOUSE	88157	P86547	Osteocalcin-2	Bglap2
MOUSE	1918960	Q69ZB0	Leucine-rich repeat and coiled-coil domain-containing protein 1	Lrrcc1
MOUSE	2685312	Q2UY11	Collagen alpha-1(XXVIII) chain	Col28a1
MOUSE	1313269	Q9Z0L3	Otoconin-90	Oc90
MOUSE	2685330	Q3UQ22	Netrin-5	Ntn5
MOUSE	1929480	Q7TQH7	Low-density lipoprotein receptor-related protein 10	Lrp10
MOUSE	1346060	Q9QUN7	Toll-like receptor 2	Tlr2
MOUSE	1921138	Q8R1Z4	Protein phosphatase 1 regulatory subunit 42	Ppp1r42
MOUSE	1858201	O54991	Contactin-associated protein 1	Cntnap1
MOUSE	96610	P09055	Integrin beta-1	Itgb1
MOUSE	88456	Q63ZW6	Col4a5 protein	Col4a5
MOUSE	1926876	Q8R1W8	Interphotoreceptor matrix proteoglycan 1	Impg1
MOUSE	1918686	Q8BGT1	Fibronectin leucine rich transmembrane protein 3	Flrt3
MOUSE	2385129	Q91W20	Leucine-rich repeat-containing protein 26	Lrrc26
MOUSE	88155	P54615	Osteocalcin-related protein	Bglap-rs1
MOUSE	1195266	O08859	Tumor necrosis factor-inducible gene 6 protein	Tnfaip6
MOUSE	1920629	Q91ZV3	"Discoidin, CUB and LCCL domain-containing protein 2"	Dcbld2
MOUSE	3588195	E9Q4D1	Protein Adamts17	Adamts17
MOUSE	1921738	Q80X72	Leucine-rich repeat-containing protein 15	Lrrc15
MOUSE	2153463	Q91ZZ5	Relaxin receptor 2	Rxfp2
MOUSE	894288	P70274	Selenoprotein P	Sepp1
MOUSE	1860137	O88186	Platelet glycoprotein IX	Gp9
MOUSE	88476	Q61147	Ceruloplasmin	Cp
MOUSE	894686	A2ACT7	"Procollagen, type IX, alpha 3"	Col9a3
MOUSE	2443439	Q8VDV0	Integrin beta-like protein 1	Itgbl1
MOUSE	1924307	Q8CDJ8	Stonin-1	Ston1
MOUSE	2389173	Q8K377	Leucine-rich repeat transmembrane neuronal protein 1	Lrrtm1
MOUSE	88383	Q06194	Coagulation factor VIII	F8
MOUSE	1339949	Q8BNJ2	A disintegrin and metalloproteinase with thrombospondin motifs 4	Adamts4
MOUSE	1926189	Q99K41	EMILIN-1	Emilin1
MOUSE	1344394	Q9R0B6	Laminin subunit gamma-3	Lamc3
MOUSE	2446274	A2AKB4	FERM and PDZ domain-containing protein 1	Frmpd1
MOUSE	106656	O88799	Zonadhesin	Zan
MOUSE	1888978	Q9JI33	Netrin-4	Ntn4
MOUSE	88463	Q00780	Collagen alpha-1(VIII) chain	Col8a1
MOUSE	2442479	Q8C8T7	Protein ELFN1	Elfn1
MOUSE	2660628	P59511	A disintegrin and metalloproteinase with thrombospondin motifs 20	Adamts20
MOUSE	1914123	Q9DBY4	TLR4 interactor with leucine rich repeats	Tril
MOUSE	3046414	Q6HA09	Astacin-like metalloendopeptidase	Astl
MOUSE	88445	Q05306	Collagen alpha-1(X) chain	Col10a1
MOUSE	2442118	E9PVG8	Protein 9530053A07Rik	9530053A07Rik
MOUSE	109321	P97927	Laminin subunit alpha-4	Lama4
MOUSE	1277979	Q3UV74	Integrin beta-2-like protein	Itgb2l
MOUSE	88460	Q02788	Collagen alpha-2(VI) chain	Col6a2
MOUSE	1925507	Q8CDN9	Leucine-rich repeat-containing protein 9	Lrrc9
MOUSE	1916433	Q9D8U4	Complement C1q tumor necrosis factor-related protein 2	C1qtnf2
MOUSE	102889	Q62059	Versican core protein	Vcan
MOUSE	1339364	Q80Z19	Mucin-2 (Fragments)	Muc2
MOUSE	1928765	Q9JJS0	"Signal peptide, CUB and EGF-like domain-containing protein 2"	Scube2
MOUSE	1914916	Q80WM5	Hyaluronan and proteoglycan link protein 3	Hapln3
MOUSE	88450	Q07563	Collagen alpha-1(XVII) chain	Col17a1
MOUSE	1349162	P18828	Syndecan-1	Sdc1
MOUSE	2445095	Q8BMT4	Negative regulator of reactive oxygen species	Nrros
MOUSE	96765	P35951	Low-density lipoprotein receptor	Ldlr
MOUSE	1341292	Q2QI47	Usherin	Ush2A
MOUSE	2389136	Q8K482	EMILIN-2	Emilin2
MOUSE	1298218	O88572	Low-density lipoprotein receptor-related protein 6	Lrp6
MOUSE	99912	Q60675	Laminin subunit alpha-2	Lama2
MOUSE	1336974	Q9WVP1	AP-1 complex subunit mu-2	Ap1m2
MOUSE	2685355	Q3V1H3	Hephaestin-like protein 1	Hephl1
MOUSE	98935	P98156	Very low-density lipoprotein receptor	Vldlr
MOUSE	1918395	Q8K299	Scavenger receptor class A member 5	Scara5
MOUSE	3608416	Q68FM6	Protein phosphatase 1 regulatory subunit 29	Elfn2
MOUSE	2652848	Q8R2R5	Leucine-rich repeat-containing protein 61	Lrrc61
MOUSE	1924989	Q8BLI0	ADAMTS-like protein 1	Adamtsl1
MOUSE	1918556	Q9D3X9	Microfibrillar-associated protein 3-like	Mfap3l
MOUSE	2176887	P58682	Toll-like receptor 8	Tlr8
MOUSE	2444418	Q8C850	Scavenger receptor class A member 3	Scara3
MOUSE	96828	Q91ZX7	Prolow-density lipoprotein receptor-related protein 1	Lrp1
MOUSE	96963	P28825	Meprin A subunit alpha	Mep1a
MOUSE	2685267	J3QNQ8	Protein Lrit3	Lrit3
MOUSE	1347348	D3Z1A5	Protein Adamts6	Adamts6
MOUSE	1888921	Q3V1T4	Prolyl 3-hydroxylase 1	Lepre1
