species	MGI	UniProtKB	gene	ID
MOUSE	1336166	O35732	CASP8 and FADD-like apoptosis regulator	Cflar
MOUSE	104741	Q9Z1E3	NF-kappa-B inhibitor alpha	Nfkbia
MOUSE	2443300	Q8BFS6	Calcineurin-like phosphoesterase domain-containing protein 1	Cpped1
MOUSE	2141867	Q8CDA1	Phosphatidylinositide phosphatase SAC2	Inpp5f
MOUSE	1312922	O08736	Caspase-12	Casp12
MOUSE	1926953	Q7TSG2	RNA polymerase II subunit A C-terminal domain phosphatase	Ctdp1
MOUSE	1914714	Q9DBT4	Ectonucleoside triphosphate diphosphohydrolase 4	Entpd4
MOUSE	1921556	Q5M8S2	Serine protease 46	Prss46
MOUSE	88513	Q64735	Complement component receptor 1-like protein	Cr1l
MOUSE	1920924	Q3U821	Protein Wdr75	Wdr75
MOUSE	1914103	Q8BJ56	Patatin-like phospholipase domain-containing protein 2	Pnpla2
MOUSE	1201792	Q61481	"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"	Pde1a
MOUSE	108410	Q61152	Tyrosine-protein phosphatase non-receptor type 18	Ptpn18
MOUSE	3045328	Q8BQH6	CUB domain-containing protein 2	Cdcp2
MOUSE	104803	P70665	Sialate O-acetylesterase	Siae
MOUSE	1920623	Q9D9M5	Pyridoxal phosphate phosphatase PHOSPHO2	Phospho2
MOUSE	109555	P46471	26S protease regulatory subunit 7	Psmc2
MOUSE	1914848	Q9WUP7	Ubiquitin carboxyl-terminal hydrolase isozyme L5	Uchl5
MOUSE	109256	P08882	Granzyme C	Gzmc
MOUSE	2442111	Q8BXN7	"Protein phosphatase 1K, mitochondrial"	Ppm1k
MOUSE	107285	P49935	Pro-cathepsin H	Ctsh
MOUSE	1321390	Q9R1E6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Enpp2
MOUSE	98821	Q921I1	Serotransferrin	Tf
MOUSE	96955	P10852	4F2 cell-surface antigen heavy chain	Slc3a2
MOUSE	1921435	Q9D6Y9	"1,4-alpha-glucan-branching enzyme"	Gbe1
MOUSE	1917511	Q9D869	Calcineurin B homologous protein 2	Chp2
MOUSE	104750	Q810U4	Neuronal cell adhesion molecule	Nrcam
MOUSE	3641889	Q792Y8	MCG15081	Gm10334
MOUSE	1919228	Q6P1F6	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	Ppp2r2a
MOUSE	2443999	E9Q4S1	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B"	Pde8b
MOUSE	108027	P70289	Receptor-type tyrosine-protein phosphatase V	Ptprv
MOUSE	1354735	P98197	Probable phospholipid-transporting ATPase IH	Atp11a
MOUSE	96938	P15119	Mast cell protease 2	Mcpt2
MOUSE	102792	Q00356	Mast cell protease-like protein	Mcptl
MOUSE	1913332	Q8R2Y0	Monoacylglycerol lipase ABHD6	Abhd6
MOUSE	2443607	Q80UU2	Ribonuclease P protein subunit p38	Rpp38
