species	MGI	UniProtKB	gene	ID
MOUSE	3704134	G3UXE9	Protein Gm8909	Gm8909
MOUSE	88513	Q64735	Complement component receptor 1-like protein	Cr1l
MOUSE	96560	Q00560	Interleukin-6 receptor subunit beta	Il6st
MOUSE	1925911	Q8BVD7	Complement C1q tumor necrosis factor-related protein 7	C1qtnf7
MOUSE	3041203	Q80T32	Probable G-protein coupled receptor 133	Gpr133
MOUSE	3647176	Q30KN3	Beta-defensin 33	Defb33
MOUSE	104687	Q9QZR9	Collagen alpha-4(IV) chain	Col4a4
MOUSE	3647784	P01639	Ig kappa chain V-V region MOPC 41	Gm5571
MOUSE	2139714	Q8JZZ7	Latrophilin-2 (Fragment)	Lphn2
MOUSE	1920590	Q99J85	Neuronal pentraxin receptor	Nptxr
MOUSE	1919943	Q9CZA5	Zinc finger CCHC domain-containing protein 12	Zcchc12
MOUSE	97430	Q60856	Inactive 2'-5'-oligoadenylate synthase 1B	Oas1b
MOUSE	1922523	Q9DBD5	"Proline-, glutamic acid- and leucine-rich protein 1"	Pelp1
MOUSE	104750	Q810U4	Neuronal cell adhesion molecule	Nrcam
MOUSE	5141954	A2AGH5	Protein Gm20489	Gm20489
MOUSE	3028921	Q80XD9	C-type lectin domain family 2 member E	Clec2e
MOUSE	2446854	Q8CJ12	G-protein coupled receptor 64	Gpr64
MOUSE	2685213	B7ZCC9	Probable G-protein coupled receptor 112	Gpr112
MOUSE	1920618	Q923P0	Collagen alpha-1(XX) chain	Col20a1
MOUSE	88468	Q01149	Collagen alpha-2(I) chain	Col1a2
MOUSE	1276524	Q85ZW6	"Histocompatibility 2, M region locus 10.3"	H2-M10.3
MOUSE	101906	Q60660	Killer cell lectin-like receptor 2	Klra2
MOUSE	3036291	Q80UI7	"C-type lectin domain family 4, member a1"	Clec4a1
MOUSE	96553	P26952	Interleukin-3 receptor subunit alpha	Il3ra
MOUSE	88335	P06332	T-cell surface glycoprotein CD4	Cd4
MOUSE	96617	Q61735	Leukocyte surface antigen CD47	Cd47
MOUSE	2685887	Q58Y75	Probable G-protein coupled receptor 113	Gpr113
MOUSE	3646223	Q3UW22	Beta-defensin 42	Defb48
MOUSE	88464	P25318	Collagen alpha-2(VIII) chain	Col8a2
MOUSE	96431	P15530	B-cell antigen receptor complex-associated protein beta chain	Cd79b
MOUSE	101907	P20937	T-cell surface glycoprotein YE1/48	Klra1
MOUSE	2444129	Q8BHK0	Paraneoplastic antigen Ma2 homolog	Pnma2
MOUSE	1345092	O88593	Peptidoglycan recognition protein 1	Pglyrp1
MOUSE	96558	P21183	Interleukin-5 receptor subunit alpha	Il5ra
MOUSE	2671945	Q8VBT1	Beta-taxilin	Txlnb
MOUSE	3641920	P01634	Ig kappa chain V-V region MOPC 21	unassigned
MOUSE	95959	P14432	"H-2 class I histocompatibility antigen, TLA(B) alpha chain"	H2-T3
MOUSE	2681862	A2AAJ9	Obscurin	Obscn
MOUSE	1916060	Q7TPW1	Nexilin	Nexn
MOUSE	3649078	B1B212	Histocompatibility-60b (Precursor)	H60b
MOUSE	1196275	O54707	Natural killer cells antigen CD94	Klrd1
MOUSE	1915555	Q9ERH6	Modulator of apoptosis 1	Moap1
MOUSE	1346338	Q9R0M1	Chemokine XC receptor 1	Xcr1
MOUSE	2157948	Q91ZW7	CD209 antigen-like protein E	Cd209e
MOUSE	2159681	Q8R183	T-cell immunoglobulin and mucin domain-containing protein 2	Timd2
MOUSE	107811	Q62443	Neuronal pentraxin-1	Nptx1
MOUSE	3705216	D3Z678	Protein Gm15448	Gm15448
MOUSE	97822	P32507	Poliovirus receptor-related protein 2	Pvrl2
MOUSE	2444151	Q8BWY2	C-type lectin domain family 1 member A	Clec1a
MOUSE	88343	P37217	Early activation antigen CD69	Cd69
MOUSE	1340030	Q9JM58	Cytokine receptor-like factor 1	Crlf1
MOUSE	107471	P31695	Neurogenic locus notch homolog protein 4	Notch4
