species	MGI	UniProtKB	gene	ID
MOUSE	2443114	Q8BWW4	La-related protein 4	Larp4
MOUSE	1347467	Q60688	Forkhead box protein D4	Foxd4
MOUSE	97451	P80206	Homeobox protein OTX2	Otx2
MOUSE	1338765	Q8CDC8	Four and a half LIM domains 4	Fhl4
MOUSE	1913741	P62876	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"	Polr2l
MOUSE	1919989	Q91VW9	Zinc finger protein with KRAB and SCAN domains 3	Zkscan3
MOUSE	98039	P17932	Putative 60S ribosomal protein L32'	Rpl32-ps
MOUSE	1917900	Q9CYA6	Zinc finger CCHC domain-containing protein 8	Zcchc8
MOUSE	98788	Q04750	DNA topoisomerase 1	Top1
MOUSE	1920924	Q3U821	Protein Wdr75	Wdr75
MOUSE	99560	P50207	Homeobox protein Hox-C13	Hoxc13
MOUSE	105369	P83917	Chromobox protein homolog 1	Cbx1
MOUSE	106214	Q60976	Jerky protein	Jrk
MOUSE	2159649	Q9WU01	"KH domain-containing, RNA-binding, signal transduction-associated protein 2"	Khdrbs2
MOUSE	3588290	Q3USZ2	Upstream-binding factor 1-like protein 1	Ubtfl1
MOUSE	108056	Q02780	Nuclear factor 1 A-type	Nfia
MOUSE	1914960	P62488	DNA-directed RNA polymerase II subunit RPB7	Polr2g
MOUSE	1914289	B2RY56	RNA-binding protein 25	Rbm25
MOUSE	1913479	Q9D8M4	60S ribosomal protein L7-like 1	Rpl7l1
MOUSE	2686498	D3YUG0	Sterile alpha motif domain-containing protein 13	Samd13
MOUSE	1096551	P60762	Mortality factor 4-like protein 1	Morf4l1
MOUSE	1926031	Q3UPF5	Zinc finger CCCH-type antiviral protein 1	Zc3hav1
MOUSE	109160	Q9QZW9	Motor neuron and pancreas homeobox protein 1	Mnx1
MOUSE	1341190	Q9Z104	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	Hmg20b
MOUSE	2180509	Q8R0Z5	Mitoferrin-2	Slc25a28
MOUSE	3611451	Q9JJF6	EF-hand and coiled-coil domain-containing protein 1	Efcc1
MOUSE	3639121	Q2PMX6	Doublesex and mab-3 related transcription factor 8.2 isoform c	Dmrtc1b
MOUSE	2442410	Q6PIJ4	Nuclear factor related to kappa-B-binding protein	Nfrkb
MOUSE	103573	Q00322	CCAAT/enhancer-binding protein delta	Cebpd
MOUSE	1930001	Q8C6A8	Class E basic helix-loop-helix protein 22	Bhlhe22
MOUSE	2685264	Q8BUZ3	Tigger transposable element-derived protein 4	Tigd4
MOUSE	1328363	Q9QWV9	Cyclin-T1	Ccnt1
MOUSE	1921705	Q7TS68	Putative methyltransferase NSUN6	Nsun6
MOUSE	96977	P26187	Methylated-DNA--protein-cysteine methyltransferase	Mgmt
MOUSE	1926154	Q6P2K3	Uncharacterized protein C3orf67 homolog	unassigned
MOUSE	99690	P33611	DNA polymerase alpha subunit B	Pola2
MOUSE	97301	P29595	NEDD8	Nedd8
MOUSE	97430	Q60856	Inactive 2'-5'-oligoadenylate synthase 1B	Oas1b
MOUSE	2685256	Q3UUE9	Protein ANKUB1	Ankub1
MOUSE	106478	Q8JZQ9	Eukaryotic translation initiation factor 3 subunit B	Eif3b
MOUSE	3037658	Q8CCK0	Core histone macro-H2A.2	H2afy2
MOUSE	102858	P47930	Fos-related antigen 2	Fosl2
MOUSE	1196439	Q8VDS3	Chromobox protein homolog 7	Cbx7
MOUSE	2384784	Q6NZJ6	Eukaryotic translation initiation factor 4 gamma 1	Eif4g1
MOUSE	3782481	E9Q4V5	Protein Gm4301	Gm4301
MOUSE	2182303	Q99MJ9	ATP-dependent RNA helicase DDX50	Ddx50
MOUSE	2449205	Q60674	Nuclear receptor subfamily 1 group D member 2	Nr1d2
MOUSE	2138968	Q99LI9	Polyribonucleotide 5'-hydroxyl-kinase Clp1	Clp1
MOUSE	98038	P62911	60S ribosomal protein L32	Rpl32
MOUSE	96952	P23804	E3 ubiquitin-protein ligase Mdm2	Mdm2
MOUSE	1922028	Q9D1C9	Ribosomal RNA-processing protein 7 homolog A	Rrp7a
MOUSE	2443607	Q80UU2	Ribonuclease P protein subunit p38	Rpp38
MOUSE	96910	O54791	Transcription factor MafF	Maff
MOUSE	1921463	Q6NZN0	RNA-binding protein 26	Rbm26
MOUSE	1919401	Q9D0F6	Replication factor C subunit 5	Rfc5
MOUSE	108177	O70133	ATP-dependent RNA helicase A	Dhx9
MOUSE	96785	Q9Z0S2	LIM/homeobox protein Lhx2	Lhx2
MOUSE	1919240	Q8K4L0	ATP-dependent RNA helicase DDX54	Ddx54
MOUSE	3642825	J3QNN8	MCG49140	Gm10263
MOUSE	96175	P02831	Homeobox protein Hox-A3	Hoxa3
MOUSE	1915517	Q9D6M3	Mitochondrial glutamate carrier 1	Slc25a22
MOUSE	2136825	Q6A037	NEDD4-binding protein 1	N4bp1
MOUSE	104912	Q62203	Splicing factor 3A subunit 2	Sf3a2
MOUSE	2149955	Q6PFG8	Oligodendrocyte transcription factor 3	Olig3
MOUSE	1925491	Q9D275	Basic leucine zipper transcriptional factor ATF-like 3	Batf3
MOUSE	1914347	P63325	40S ribosomal protein S10	Rps10
MOUSE	1924031	Q3U034	Methyltransferase-like protein 4	Mettl4
MOUSE	96184	P09026	Homeobox protein Hox-B3	Hoxb3
MOUSE	103036	P42230	Signal transducer and activator of transcription 5A	Stat5a
MOUSE	1201683	O54839	Eomesodermin homolog	Eomes
MOUSE	3644980	S4R1M3	Histone H2A	H2afb2
MOUSE	1917866	Q8CH02	SURP and G-patch domain-containing protein 1	Sugp1
MOUSE	99480	P53566	CCAAT/enhancer-binding protein alpha	Cebpa
MOUSE	98447	P70279	Surfeit locus protein 6	Surf6
MOUSE	1913305	P59708	Pre-mRNA branch site protein p14	Sf3b14
MOUSE	1351465	P97855	Ras GTPase-activating protein-binding protein 1	G3bp1
MOUSE	1891258	Q3ULW8	Protein Parp3	Parp3
MOUSE	1914829	Q7TN98	Cytoplasmic polyadenylation element-binding protein 4	Cpeb4
MOUSE	1914531	Q9D823	60S ribosomal protein L37	Rpl37
MOUSE	1202397	Q6PCM2	Integrator complex subunit 6	Ints6
MOUSE	1926879	Q9EQH4	Transcription initiation factor TFIID subunit 8	Taf8
MOUSE	1098547	Q9CRB2	H/ACA ribonucleoprotein complex subunit 2	Nhp2
MOUSE	98472	P20293	Brachyury protein	T
MOUSE	1919900	Q80VP5	"Probable peptide chain release factor C12orf65 homolog, mitochondrial"	unassigned
MOUSE	2653833	Q8R4B8	"NACHT, LRR and PYD domains-containing protein 3"	Nlrp3
MOUSE	103219	P32443	Homeobox protein MOX-2	Meox2
MOUSE	3041210	Q5SPX1	Coiled-coil domain-containing protein 157	Ccdc157
MOUSE	98284	Q62093	Serine/arginine-rich splicing factor 2	Srsf2
MOUSE	1925544	P62983	Ubiquitin-40S ribosomal protein S27a	Rps27a
MOUSE	2138741	Q9Z2X1	Heterogeneous nuclear ribonucleoprotein F	Hnrnpf
MOUSE	1891441	Q99388	Component of Sp100-rs	Csprs
MOUSE	1858746	Q8BRB7	Histone acetyltransferase KAT6B	Kat6b
MOUSE	96915	Q64133	Amine oxidase [flavin-containing] A	Maoa
MOUSE	1926033	Q3U109	Protein Brpf1	Brpf1
MOUSE	2143628	Q8BLB7	Lethal(3)malignant brain tumor-like protein 3	L3mbtl3
MOUSE	1354692	Q9QXA5	U6 snRNA-associated Sm-like protein LSm4	Lsm4
MOUSE	1923919	Q9D970	Protein 1700128F08Rik	1700128F08Rik
MOUSE	2686934	Q2MHN3	Protein Zfhx2	Zfhx2
MOUSE	1920196	Q505F5	Leucine-rich repeat-containing protein 47	Lrrc47
MOUSE	98361	Q04891	Transcription factor SOX-13	Sox13
MOUSE	99430	Q61666	Protein HIRA	Hira
MOUSE	1346087	P14576	Signal recognition particle 54 kDa protein	Srp54
MOUSE	3643792	D3Z5N9	MCG49198	Gm5449
MOUSE	101789	P37913	DNA ligase 1	Lig1
MOUSE	2687042	Q8BKR5	Protein phosphatase 1 regulatory subunit 37	Ppp1r37
MOUSE	1914804	Q9CR58	Kidney mitochondrial carrier protein 1	Slc25a30
MOUSE	2442317	Q3UHF3	Mesoderm induction early response protein 3	Mier3
MOUSE	1918842	Q80TC5	Pogo transposable element with KRAB domain	Pogk
