species	MGI	UniProtKB	gene	ID
MOUSE	1336166	O35732	CASP8 and FADD-like apoptosis regulator	Cflar
MOUSE	1312922	O08736	Caspase-12	Casp12
MOUSE	1921556	Q5M8S2	Serine protease 46	Prss46
MOUSE	88513	Q64735	Complement component receptor 1-like protein	Cr1l
MOUSE	3045328	Q8BQH6	CUB domain-containing protein 2	Cdcp2
MOUSE	1914848	Q9WUP7	Ubiquitin carboxyl-terminal hydrolase isozyme L5	Uchl5
MOUSE	109256	P08882	Granzyme C	Gzmc
MOUSE	107285	P49935	Pro-cathepsin H	Ctsh
MOUSE	98821	Q921I1	Serotransferrin	Tf
MOUSE	3641889	Q792Y8	MCG15081	Gm10334
MOUSE	96938	P15119	Mast cell protease 2	Mcpt2
MOUSE	102792	Q00356	Mast cell protease-like protein	Mcptl
MOUSE	1913332	Q8R2Y0	Monoacylglycerol lipase ABHD6	Abhd6
MOUSE	1933213	Q9ET22	Dipeptidyl peptidase 2	Dpp7
MOUSE	3605764	Q8K4I7	Inactive serine protease 45	Prss45
MOUSE	109383	P97864	Caspase-7	Casp7
MOUSE	1914253	Q9DB77	"Cytochrome b-c1 complex subunit 2, mitochondrial"	Uqcrc2
MOUSE	3513175	Q5S248	Transmembrane protease serine 11E	Tmprss11e
MOUSE	2441932	Q8C167	Prolyl endopeptidase-like	Prepl
MOUSE	102768	P21956	Lactadherin	Mfge8
MOUSE	1100881	O08762	Neurotrypsin	Prss12
MOUSE	1343461	Q9JMI0	Endothelin-converting enzyme-like 1	Ecel1
MOUSE	1927229	Q9JL96	Cathepsin M	Ctsm
MOUSE	95886	Q9D8V0	Minor histocompatibility antigen H13	Hm13
MOUSE	1916008	Q8K4F5	Alpha/beta hydrolase domain-containing protein 11	Abhd11
MOUSE	2681414	Q80UR4	Mast cell protease-11	Prss34
MOUSE	1890508	Q80W54	CAAX prenyl protease 1 homolog	Zmpste24
MOUSE	99554	Q07797	Galectin-3-binding protein	Lgals3bp
MOUSE	105099	Q61398	Procollagen C-endopeptidase enhancer 1	Pcolce
MOUSE	1344392	Q9ESK3	Calpain-10	Capn10
MOUSE	3702972	Q3UTC4	Protein Gm10696	Gm10696
MOUSE	1918772	Q6PDE7	Gamma-glutamyltransferase 6	Ggt6
MOUSE	1923062	Q8R1G1	Threonine aspartase 1	Tasp1
