species	MGI	UniProtKB	gene	ID
MOUSE	95815	P39087	"Glutamate receptor ionotropic, kainate 2"	Grik2
MOUSE	3704134	G3UXE9	Protein Gm8909	Gm8909
MOUSE	2685074	Q5QD13	Trace amine-associated receptor 6	Taar6
MOUSE	88232	P30993	C5a anaphylatoxin chemotactic receptor 1	C5ar1
MOUSE	1341272	Q80X19	Collagen alpha-1(XIV) chain	Col14a1
MOUSE	2685076	Q5QD07	Trace amine-associated receptor 8a	Taar8a
MOUSE	104963	Q04573	Neuropeptide Y receptor type 1	Npy1r
MOUSE	1921556	Q5M8S2	Serine protease 46	Prss46
MOUSE	2136746	Q91UZ8	MCG141285	Pcdhb11
MOUSE	94872	P28654	Decorin	Dcn
MOUSE	88513	Q64735	Complement component receptor 1-like protein	Cr1l
MOUSE	2389180	Q80XG9	Leucine-rich repeat transmembrane neuronal protein 4	Lrrtm4
MOUSE	96560	Q00560	Interleukin-6 receptor subunit beta	Il6st
MOUSE	1858236	Q91ZI0	Cadherin EGF LAG seven-pass G-type receptor 3	Celsr3
MOUSE	1925911	Q8BVD7	Complement C1q tumor necrosis factor-related protein 7	C1qtnf7
MOUSE	3041203	Q80T32	Probable G-protein coupled receptor 133	Gpr133
MOUSE	3045328	Q8BQH6	CUB domain-containing protein 2	Cdcp2
MOUSE	104687	Q9QZR9	Collagen alpha-4(IV) chain	Col4a4
MOUSE	2441809	B9EKH0	Protein A530099J19Rik	A530099J19Rik
MOUSE	87935	P30545	Alpha-2B adrenergic receptor	Adra2b
MOUSE	97386	O88319	Neurotensin receptor type 1	Ntsr1
MOUSE	1351342	Q3UVX5	Metabotropic glutamate receptor 5	Grm5
MOUSE	88461	E9PWQ3	Protein Col6a3	Col6a3
MOUSE	1298405	P84091	AP-2 complex subunit mu	Ap2m1
MOUSE	2139714	Q8JZZ7	Latrophilin-2 (Fragment)	Lphn2
MOUSE	1914718	Q9CQY7	Monocyte to macrophage differentiation factor	Mmd
MOUSE	94927	Q8BLD9	D(1B) dopamine receptor	Drd5
MOUSE	1289247	Q9D1E5	Protein LMBR1L	Lmbr1l
MOUSE	1922523	Q9DBD5	"Proline-, glutamic acid- and leucine-rich protein 1"	Pelp1
MOUSE	104750	Q810U4	Neuronal cell adhesion molecule	Nrcam
MOUSE	108027	P70289	Receptor-type tyrosine-protein phosphatase V	Ptprv
MOUSE	5141954	A2AGH5	Protein Gm20489	Gm20489
MOUSE	2449205	Q60674	Nuclear receptor subfamily 1 group D member 2	Nr1d2
MOUSE	2651928	P83626	Tumor necrosis factor receptor superfamily member 26	Tnfrsf26
MOUSE	1337063	Q9JKC7	AP-4 complex subunit mu-1	Ap4m1
MOUSE	105382	Q61001	Laminin subunit alpha-5	Lama5
MOUSE	3028921	Q80XD9	C-type lectin domain family 2 member E	Clec2e
MOUSE	1202398	O35367	Keratocan	Kera
MOUSE	2384752	Q3UGS4	Protein FAM195B	Fam195b
MOUSE	2446854	Q8CJ12	G-protein coupled receptor 64	Gpr64
MOUSE	2177284	Q9ERT2	Protein Trhr2	Trhr2
MOUSE	2685213	B7ZCC9	Probable G-protein coupled receptor 112	Gpr112
MOUSE	3605764	Q8K4I7	Inactive serine protease 45	Prss45
MOUSE	1920618	Q923P0	Collagen alpha-1(XX) chain	Col20a1
MOUSE	1923479	L7N2D4	Protein Vmn2r29	Vmn2r29
MOUSE	3643806	E9Q4X4	Protein Vmn2r11	Vmn2r11
MOUSE	88468	Q01149	Collagen alpha-2(I) chain	Col1a2
MOUSE	3761335	K7N6U5	Protein Vmn2r78	Vmn2r78
MOUSE	2148793	Q91V45	KiSS-1 receptor	Kiss1r
MOUSE	2664099	Q3UW12	Cyclic nucleotide-gated cation channel alpha-4	Cnga4
MOUSE	3513175	Q5S248	Transmembrane protease serine 11E	Tmprss11e
MOUSE	102768	P21956	Lactadherin	Mfge8
MOUSE	1276524	Q85ZW6	"Histocompatibility 2, M region locus 10.3"	H2-M10.3
MOUSE	101906	Q60660	Killer cell lectin-like receptor 2	Klra2
MOUSE	1298210	O88703	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	Hcn2
MOUSE	1913359	Q9D8C2	Tetraspanin-13	Tspan13
MOUSE	95790	Q01776	Gonadotropin-releasing hormone receptor	Gnrhr
MOUSE	2447063	Q3UHK6	Teneurin-4	Tenm4
MOUSE	96616	P26011	Integrin beta-7	Itgb7
MOUSE	1100881	O08762	Neurotrypsin	Prss12
MOUSE	3036291	Q80UI7	"C-type lectin domain family 4, member a1"	Clec4a1
MOUSE	2685352	Q6P3Y9	Podocan-like protein 1	Podnl1
MOUSE	87894	P20782	Acetylcholine receptor subunit epsilon	Chrne
MOUSE	96553	P26952	Interleukin-3 receptor subunit alpha	Il3ra
MOUSE	88335	P06332	T-cell surface glycoprotein CD4	Cd4
MOUSE	1914478	Q9CYU6	Diphthamide biosynthesis protein 7	Dph7
MOUSE	95624	P27681	Gamma-aminobutyric acid receptor subunit gamma-3	Gabrg3
MOUSE	95809	P23819	Glutamate receptor 2	Gria2
MOUSE	1935216	Q91XY4	Protocadherin gamma-A4	Pcdhga4
MOUSE	96617	Q61735	Leukocyte surface antigen CD47	Cd47
MOUSE	3030927	Q8VF14	Olfactory receptor	Olfr1093
MOUSE	3647034	K7N674	Protein Vmn2r111	Vmn2r111
MOUSE	99659	E9PZQ0	Ryanodine receptor 1	Ryr1
MOUSE	1338022	Q9WUK7	Opsin-3	Opn3
MOUSE	1924118	Q5M8M9	Leucine-rich repeat-containing protein 52	Lrrc52
MOUSE	1918985	Q8BUI3	Leucine-rich repeat and WD repeat-containing protein 1	LRWD1
MOUSE	2442252	Q8VI56	Low-density lipoprotein receptor-related protein 4	Lrp4
MOUSE	3646200	E9Q7U8	Protein Vmn2r35	Vmn2r35
MOUSE	3644559	E9Q0G7	Protein Vmn2r83	Vmn2r83
MOUSE	1934667	B1AWN9	Protein Tnfrsf25	Tnfrsf25
MOUSE	3704281	K7N709	Protein Gm10302	Vmn2r47
MOUSE	3704108	L7N2E5	Protein Vmn2r39	Vmn2r39
MOUSE	2681414	Q80UR4	Mast cell protease-11	Prss34
MOUSE	2685887	Q58Y75	Probable G-protein coupled receptor 113	Gpr113
MOUSE	3030294	Q8VF31	Olfactory receptor	Olfr460
MOUSE	88464	P25318	Collagen alpha-2(VIII) chain	Col8a2
MOUSE	96431	P15530	B-cell antigen receptor complex-associated protein beta chain	Cd79b
MOUSE	1888498	Q9JLF1	Gamma-aminobutyric acid receptor subunit theta	Gabrq
MOUSE	87890	P09690	Acetylcholine receptor subunit beta	Chrnb1
MOUSE	3045226	Q6R5P0	Toll-like receptor 11	Tlr11
MOUSE	101907	P20937	T-cell surface glycoprotein YE1/48	Klra1
MOUSE	1933206	A2AIR5	Protein Grin3a	Grin3a
MOUSE	1914163	Q9CQM2	ER lumen protein retaining receptor 2	Kdelr2
MOUSE	96558	P21183	Interleukin-5 receptor subunit alpha	Il5ra
MOUSE	98477	P30549	Substance-K receptor	Tacr2
MOUSE	99554	Q07797	Galectin-3-binding protein	Lgals3bp
MOUSE	105099	Q61398	Procollagen C-endopeptidase enhancer 1	Pcolce
MOUSE	99569	P52592	Sphingosine 1-phosphate receptor 2	S1pr2
MOUSE	2684927	Q569L8	Centromere protein J	Cenpj
MOUSE	1934133	Q99MT7	G-protein coupled receptor 87	Gpr87
MOUSE	95484	P25446	Tumor necrosis factor receptor superfamily member 6	Fas
MOUSE	99418	Q9Z329	"Inositol 1,4,5-trisphosphate receptor type 2"	Itpr2
MOUSE	3033095	Q91WW5	Mas-related G-protein coupled receptor member A1	Mrgpra1
MOUSE	88436	P29974	cGMP-gated cation channel alpha-1	Cnga1
MOUSE	95959	P14432	"H-2 class I histocompatibility antigen, TLA(B) alpha chain"	H2-T3
MOUSE	2681862	A2AAJ9	Obscurin	Obscn
MOUSE	1916060	Q7TPW1	Nexilin	Nexn
MOUSE	3649078	B1B212	Histocompatibility-60b (Precursor)	H60b
MOUSE	1341296	Q9EPW9	Toll-like receptor 6	Tlr6
MOUSE	2150016	Q924S8	"Sprouty-related, EVH1 domain-containing protein 1"	Spred1
MOUSE	1927851	P60894	Probable G-protein coupled receptor 85	Gpr85
