species	MGI	UniProtKB	gene	ID
MOUSE	1338032	Q9WTM3	Semaphorin-6C	Sema6c
MOUSE	1336188	Q91VX5	Neurexophilin-3	Nxph3
MOUSE	88613	P18406	Protein CYR61	Cyr61
MOUSE	1921556	Q5M8S2	Serine protease 46	Prss46
MOUSE	1888711	Q9Z126	Platelet factor 4	Pf4
MOUSE	94872	P28654	Decorin	Dcn
MOUSE	2389180	Q80XG9	Leucine-rich repeat transmembrane neuronal protein 4	Lrrtm4
MOUSE	96560	Q00560	Interleukin-6 receptor subunit beta	Il6st
MOUSE	3588290	Q3USZ2	Upstream-binding factor 1-like protein 1	Ubtfl1
MOUSE	2149960	P58069	Ras GTPase-activating protein 2	Rasa2
MOUSE	3045328	Q8BQH6	CUB domain-containing protein 2	Cdcp2
MOUSE	1341190	Q9Z104	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	Hmg20b
MOUSE	1339468	P08207	Protein S100-A10	S100a10
MOUSE	99604	P37237	Fibroblast growth factor 8	Fgf8
MOUSE	107663	P07349	Interferon alpha-5	Ifna5
MOUSE	1931130	Q99N14	Tachykinin-4	Tac4
MOUSE	1889286	Q9JHG0	Cerebellin-3	Cbln3
MOUSE	2156538	Q8R526	Polycystic kidney disease protein 1-like 1	Pkd1l1
MOUSE	5141954	A2AGH5	Protein Gm20489	Gm20489
MOUSE	1859307	Q8VCW4	Protein unc-93 homolog B1	Unc93b1
MOUSE	106643	O08542	Ephrin-A4	Efna4
MOUSE	2442559	A2RT91	Ankyrin and armadillo repeat-containing protein	Ankar
MOUSE	3028921	Q80XD9	C-type lectin domain family 2 member E	Clec2e
MOUSE	2667155	Q80SU4	Interferon alpha-13	Ifna13
MOUSE	895068	Q9CQW5	Galectin-2	Lgals2
MOUSE	1321402	Q60787	Lymphocyte cytosolic protein 2	Lcp2
MOUSE	88176	P98063	Bone morphogenetic protein 1	Bmp1
MOUSE	88182	P20722	Bone morphogenetic protein 6	Bmp6
MOUSE	3605764	Q8K4I7	Inactive serine protease 45	Prss45
MOUSE	1919963	Q640P2	Angiopoietin-related protein 1	Angptl1
MOUSE	109178	P70377	Fibroblast growth factor 13	Fgf13
MOUSE	3513175	Q5S248	Transmembrane protease serine 11E	Tmprss11e
MOUSE	1351465	P97855	Ras GTPase-activating protein-binding protein 1	G3bp1
MOUSE	2443573	P57785	Left-right determination factor 2	Lefty2
MOUSE	102768	P21956	Lactadherin	Mfge8
MOUSE	1861731	Q9JIL2	C-C motif chemokine 28	Ccl28
MOUSE	2679719	Q3UJZ3	Armadillo repeat-containing protein 7	Armc7
MOUSE	1338027	Q9Z1W4	Growth/differentiation factor 11	Gdf11
MOUSE	101906	Q60660	Killer cell lectin-like receptor 2	Klra2
MOUSE	1913359	Q9D8C2	Tetraspanin-13	Tspan13
MOUSE	2447063	Q3UHK6	Teneurin-4	Tenm4
MOUSE	2387661	Q76KF0	Semaphorin-6D	Sema6d
MOUSE	1338786	Q9Z0T6	Polycystic kidney disease and receptor for egg jelly-related protein	Pkdrej
MOUSE	2444273	A2RSQ0	DENN domain-containing protein 5B	Dennd5b
MOUSE	109430	Q60625	Intercellular adhesion molecule 5	Icam5
MOUSE	2685352	Q6P3Y9	Podocan-like protein 1	Podnl1
MOUSE	98263	P27784	C-C motif chemokine 6	Ccl6
MOUSE	1891441	Q99388	Component of Sp100-rs	Csprs
MOUSE	96553	P26952	Interleukin-3 receptor subunit alpha	Il3ra
MOUSE	1346329	Q9QZQ3	Urotensin-2	Uts2
MOUSE	97860	E9PYG6	Protein Rasa1	Rasa1
MOUSE	97753	P10601	Pancreatic prohormone	Ppy
MOUSE	95886	Q9D8V0	Minor histocompatibility antigen H13	Hm13
MOUSE	104515	P34821	Bone morphogenetic protein 8A	Bmp8a
MOUSE	1339941	Q9WVL7	C-X-C motif chemokine 15	Cxcl15
MOUSE	1917979	Q9D3A8	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	Nos1ap
MOUSE	98326	P60041	Somatostatin	Sst
MOUSE	103014	P48346	Interleukin-15	Il15
MOUSE	96932	A2AEU1	Protein Mcf2	Mcf2
MOUSE	2681414	Q80UR4	Mast cell protease-11	Prss34
MOUSE	95456	P15037	Protein C-ets-2	Ets2
MOUSE	96569	Q04997	Inhibin alpha chain	Inha
MOUSE	88439	P51642	Ciliary neurotrophic factor	Cntf
MOUSE	894275	O09009	"Beta-1,3-N-acetylglucosaminyltransferase radical fringe"	Rfng
MOUSE	1202889	O54951	Semaphorin-6B	Sema6b
MOUSE	101907	P20937	T-cell surface glycoprotein YE1/48	Klra1
MOUSE	99702	Q07813	Apoptosis regulator BAX	Bax
MOUSE	97616	Q8CIH5	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"	Plcg2
MOUSE	1914410	Q9D8N0	Elongation factor 1-gamma	Eef1g
MOUSE	1345092	O88593	Peptidoglycan recognition protein 1	Pglyrp1
MOUSE	101922	Q80YX1	Tenascin	Tnc
MOUSE	96558	P21183	Interleukin-5 receptor subunit alpha	Il5ra
MOUSE	1321395	Q8K4G1	Latent-transforming growth factor beta-binding protein 4	Ltbp4
MOUSE	95692	Q07105	Growth/differentiation factor 9	Gdf9
MOUSE	105099	Q61398	Procollagen C-endopeptidase enhancer 1	Pcolce
MOUSE	106188	Q61133	Glutathione S-transferase theta-2	Gstt2
MOUSE	98959	P22726	Protein Wnt-5b	Wnt5b
MOUSE	107364	Q62386	Interleukin-17A	Il17a
MOUSE	1921305	Q8K4S1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1"	Plce1
MOUSE	1888999	Q9Z1P8	Angiopoietin-related protein 4	Angptl4
MOUSE	1329031	O89093	C-C motif chemokine 20	Ccl20
MOUSE	2445168	Q91YP6	ELMO domain-containing protein 3	Elmod3
MOUSE	1924558	Q8BJU2	Tetraspanin-9	Tspan9
MOUSE	105094	O70176	Pituitary adenylate cyclase-activating polypeptide	Adcyap1
MOUSE	107558	O08665	Semaphorin-3A	Sema3a
MOUSE	88337	P27548	CD40 ligand	Cd40lg
