brief_descriptor	gene_symbol_col_name	file_name
curated_tf	symbol	mouse_tfs.txt
uniprot_receptors	Gene.names	uniprot-keyword%3A-Receptor+%5BKW-0675%5D-+AND+reviewed%3Ayes+AND+organism%3--.tab
nucleic_bind_panther	ID	mNucleicBinding_pantherPC00171.txt
cell_adhesion_panther	ID	mCellAdhesion_pantherPC00069.txt
cell_junction_panther	ID	mCellJunction_pantherPC00070.txt
tfactors_panther	ID	mTranscriptionFactor_pantherPC00218.txt
ecmatrix_panther	ID	mExtracellMatrix_pantherPC00102.txt
hydrolases_panther	ID	mHydrolases_pantherPC00121.txt
immunity_panther	ID	mImmunity_pantherPC00090.txt
protease_panther	ID	mProtease_pantherPC00190.txt
receptor_panther	ID	mReceptor_pantherPC00197.txt
signaling_panther	ID	mSignalingMol_pantherPC00207.txt
poised_genes	mouse_gene_symbol	Lesch2016_NatGen_PoisedGenes.txt
