symbol	ncbi_gene_id
Adnp	11538
Aebp1	11568
Aebp2	11569
Nr0b1	11614
Ahr	11622
Ahrr	11624
Aire	11634
Alx3	11694
Alx4	11695
Ankfy1	11736
Anp32a	11737
Birc3	11796
Birc2	11797
Birc4	11798
Nr2f2	11819
Ar	11835
Phox2a	11859
Arnt	11863
Arnt2	11864
Arntl	11865
Arx	11878
Zfhx3	11906
Atf1	11908
Atf2	11909
Atf3	11910
Atf4	11911
Atoh1	11921
Neurod6	11922
Neurod4	11923
Neurog2	11924
Neurog3	11925
Bach1	12013
Bach2	12014
Bag1	12017
Nkx32	12020
Bard1	12021
Barx1	12022
Barx2	12023
Bcl6b	12029
Bcl3	12051
Bcl6	12053
Bmi1	12151
Bnc1	12173
Smyd1	12180
Brca1	12189
Brca2	12190
Zfp36l1	12192
Zfp36l2	12193
Klf5	12224
Btg1	12226
Btg2	12227
Ciita	12265
Nr1i3	12355
Ctnnb1	12387
Runx2	12393
Runx1	12394
Runx1t1	12395
Cbfa2t2	12396
Cbfa2t3	12398
Runx3	12399
Cbfb	12400
Cbl	12402
Cbx4	12418
Rb1cc1	12421
Ccne1	12447
Ccnt1	12455
Ccrn4l	12457
Cdk7	12572
Cdx1	12590
Cdx2	12591
Cdx4	12592
Cebpa	12606
Cebpz	12607
Cebpb	12608
Cebpd	12609
Cebpg	12611
Vsx2	12677
Cited1	12705
Clock	12753
Cnbp	12785
Creb1	12912
Creb3	12913
Crebbp	12914
Crebl1	12915
Crem	12916
Crk	12928
Crx	12951
Ctbp1	13016
Ctbp2	13017
Ctcf	13018
Cux1	13047
Cux2	13048
Dach1	13134
Daxx	13163
Dbp	13170
Dbx1	13172
Twist2	13345
Dll1	13388
Dll3	13389
Dlx1	13390
Dlx2	13392
Dlx3	13393
Dlx4	13394
Dlx5	13395
Dnm2	13430
Dr1	13486
Arid3a	13496
E2f1	13555
E2f5	13559
E4f1	13560
Ebf1	13591
Ebf2	13592
Ebf3	13593
Phc1	13619
Eed	13626
Egr1	13653
Egr2	13654
Egr3	13655
Egr4	13656
Ehf	13661
Elf1	13709
Elf3	13710
Elf5	13711
Elk1	13712
Elk3	13713
Elk4	13714
Ell	13716
Emx1	13796
Emx2	13797
En1	13798
En2	13799
Eomes	13813
