gene	function	pathway
Dkk3	ligand	wnt
Sfrp1	ligand	wnt
Wif1	ligand	wnt
Wnt3	ligand	wnt
Wnt4	ligand	wnt
Wnt5b	ligand	wnt
Wnt7b	ligand	wnt
Wnt9a	ligand	wnt
Wnt10a	ligand	wnt
Wnt11	ligand	wnt
Fzd1	receptor	wnt
Fzd2	receptor	wnt
Fzd3	receptor	wnt
Fzd5	receptor	wnt
Fzd6	receptor	wnt
Fzd7	receptor	wnt
Fzd8	receptor	wnt
Fzd9	receptor	wnt
Kremen1	receptor	wnt
Lrp5	receptor	wnt
Lrp6	receptor	wnt
Lgr4	receptor	wnt
Lgr5	receptor	wnt
Lgr6	receptor	wnt
Aes	signaling	wnt
Apc	signaling	wnt
Axin1	signaling	wnt
Axin2	signaling	wnt
Ccnd1	signaling	wnt
Csnk1a1	signaling	wnt
Csnk2a1	signaling	wnt
Ctbp1	signaling	wnt
Ctnnb1	signaling	wnt
Ctnnbip1	signaling	wnt
Daam1	signaling	wnt
Dixdc1	signaling	wnt
Dvl1	signaling	wnt
Dvl2	signaling	wnt
Ep300	signaling	wnt
Fbxw11	signaling	wnt
Gsk3b	signaling	wnt
Mapk8	signaling	wnt
Nfatc1	signaling	wnt
Nlk	signaling	wnt
Rhoa	signaling	wnt
Rhou	signaling	wnt
Hhip	ligand	hedgehog
Boc	receptor	hedgehog
Cdon	receptor	hedgehog
Gas1	receptor	hedgehog
Smo	receptor	hedgehog
Csnk1a1	signaling	hedgehog
Csnk1e	signaling	hedgehog
Fbxw11	signaling	hedgehog
Fkbp8	signaling	hedgehog
Gli1	signaling	hedgehog
Gli2	signaling	hedgehog
Gli3	signaling	hedgehog
Prkacb	signaling	hedgehog
Tgfb2	ligand	tgfbeta_bmp
Tgfb3	ligand	tgfbeta_bmp
Tgfbr1	receptor	tgfbeta_bmp
Tgfbr2	receptor	tgfbeta_bmp
Tgfbr3	receptor	tgfbeta_bmp
Fst		tgfbeta_bmp
Ltbp1		tgfbeta_bmp
Ltbp2		tgfbeta_bmp
Ltbp4		tgfbeta_bmp
Nog		tgfbeta_bmp
Tgfbi		tgfbeta_bmp
Thbs1		tgfbeta_bmp
Crebbp	signaling	tgfbeta_bmp
Ep300	signaling	tgfbeta_bmp
Fos	signaling	tgfbeta_bmp
Id1	signaling	tgfbeta_bmp
Jun	signaling	tgfbeta_bmp
Junb	signaling	tgfbeta_bmp
Myc	signaling	tgfbeta_bmp
Runx1	signaling	tgfbeta_bmp
Smad1	signaling	tgfbeta_bmp
Smad2	signaling	tgfbeta_bmp
Smad3	signaling	tgfbeta_bmp
Smad4	signaling	tgfbeta_bmp
Smad5	signaling	tgfbeta_bmp
Smad7	signaling	tgfbeta_bmp
Sox4	signaling	tgfbeta_bmp
Tsc22d1	signaling	tgfbeta_bmp
Bmp2	ligand	tgfbeta_bmp
Bmp4	ligand	tgfbeta_bmp
Bmp7	ligand	tgfbeta_bmp
Bmpr1a	receptor	tgfbeta_bmp
Bmpr2	receptor	tgfbeta_bmp
Dll1	ligand	notch
Jag1	ligand	notch
Jag2	ligand	notch
Notch1	receptor	notch
Notch2	receptor	notch
Notch3	receptor	notch
Adam10	signaling	notch
Adam17	signaling	notch
Maml1	signaling	notch
Maml2	signaling	notch
Ncstn	signaling	notch
Ncor2	signaling	notch
Numb	signaling	notch
Psen1	signaling	notch
Psenen	signaling	notch
Snw1	signaling	notch
Ccl2	ligand	nfkb
Il1a	ligand	nfkb
Il1b	ligand	nfkb
Tnf	ligand	nfkb
Card10	receptor	nfkb
Cd40	receptor	nfkb
Egfr	receptor	nfkb
F2r	receptor	nfkb
Nod1	receptor	nfkb
Tnfrsf1a	receptor	nfkb
Tnfrsf1b	receptor	nfkb
Tlr2	receptor	nfkb
Fadd	signaling	nfkb
Irak1	signaling	nfkb
Irak2	signaling	nfkb
Irf1	signaling	nfkb
Map3k1	signaling	nfkb
Mapk3	signaling	nfkb
Myd88	signaling	nfkb
Ripk1	signaling	nfkb
Ripk2	signaling	nfkb
Traf2	signaling	nfkb
Traf3	signaling	nfkb
Traf6	signaling	nfkb
Tnfaip3	signaling	nfkb
Tollip	signaling	nfkb
