index,humanid,mousesym,mouseid,humansym,"# This table looks like it was downloaded from BioMart, but Eric has foolishly lost track of the exact date and versions. "
1,ENSG00000000003,Tspan6,ENSMUSG00000067377,TSPAN6,"# Instead, please use the update version, same name no ""_old"" suffix."
2,ENSG00000000005,Tnmd,ENSMUSG00000031250,TNMD,
3,ENSG00000000419,Dpm1,ENSMUSG00000078919,DPM1,
4,ENSG00000000419,Gm20716,ENSMUSG00000093752,DPM1,
5,ENSG00000000457,Scyl3,ENSMUSG00000026584,SCYL3,
6,ENSG00000000460,BC055324,ENSMUSG00000041406,C1orf112,
7,ENSG00000000938,Fgr,ENSMUSG00000028874,FGR,
8,ENSG00000001036,Fuca2,ENSMUSG00000019810,FUCA2,
9,ENSG00000001084,Gclc,ENSMUSG00000032350,GCLC,
10,ENSG00000001167,Nfya,ENSMUSG00000023994,NFYA,
11,ENSG00000001460,Stpg1,ENSMUSG00000028801,STPG1,
12,ENSG00000001461,Nipal3,ENSMUSG00000028803,NIPAL3,
13,ENSG00000001497,Las1l,ENSMUSG00000057421,LAS1L,
14,ENSG00000001561,Enpp4,ENSMUSG00000023961,ENPP4,
15,ENSG00000001617,Sema3f,ENSMUSG00000034684,SEMA3F,
16,ENSG00000001626,Cftr,ENSMUSG00000041301,CFTR,
17,ENSG00000001629,Ankib1,ENSMUSG00000040351,ANKIB1,
18,ENSG00000001630,Cyp51,ENSMUSG00000001467,CYP51A1,
19,ENSG00000001631,Krit1,ENSMUSG00000000600,KRIT1,
20,ENSG00000002016,Rad52,ENSMUSG00000030166,RAD52,
21,ENSG00000002330,Bad,ENSMUSG00000024959,BAD,
22,ENSG00000002549,Lap3,ENSMUSG00000039682,LAP3,
23,ENSG00000002587,Hs3st1,ENSMUSG00000051022,HS3ST1,
24,ENSG00000002726,Aoc1,ENSMUSG00000029811,AOC1,
25,ENSG00000002726,Svs1,ENSMUSG00000039215,AOC1,
26,ENSG00000002726,1600015I10Rik,ENSMUSG00000029813,AOC1,
27,ENSG00000002726,Doxl2,ENSMUSG00000068536,AOC1,
28,ENSG00000002745,Wnt16,ENSMUSG00000029671,WNT16,
29,ENSG00000002746,Hecw1,ENSMUSG00000021301,HECW1,
30,ENSG00000002822,Mad1l1,ENSMUSG00000029554,MAD1L1,
31,ENSG00000002834,Lasp1,ENSMUSG00000038366,LASP1,
32,ENSG00000002919,Snx11,ENSMUSG00000020876,SNX11,
33,ENSG00000002933,Tmem176a,ENSMUSG00000023367,TMEM176A,
34,ENSG00000003056,M6pr,ENSMUSG00000007458,M6PR,
35,ENSG00000003096,Klhl13,ENSMUSG00000036782,KLHL13,
36,ENSG00000003137,Cyp26b1,ENSMUSG00000063415,CYP26B1,
37,ENSG00000003147,Ica1,ENSMUSG00000062995,ICA1,
38,ENSG00000003249,Dbndd1,ENSMUSG00000031970,DBNDD1,
39,ENSG00000003393,Als2,ENSMUSG00000026024,ALS2,
40,ENSG00000003402,Gm9845,ENSMUSG00000050533,CFLAR,
41,ENSG00000003402,Cflar,ENSMUSG00000026031,CFLAR,
42,ENSG00000003436,Tfpi,ENSMUSG00000027082,TFPI,
43,ENSG00000003509,Ndufaf7,ENSMUSG00000024082,NDUFAF7,
44,ENSG00000003756,Rbm5,ENSMUSG00000032580,RBM5,
45,ENSG00000003987,Mtmr7,ENSMUSG00000039431,MTMR7,
46,ENSG00000003989,Slc7a2,ENSMUSG00000031596,SLC7A2,
47,ENSG00000004059,Arf5,ENSMUSG00000020440,ARF5,
48,ENSG00000004139,Sarm1,ENSMUSG00000050132,SARM1,
49,ENSG00000004142,Poldip2,ENSMUSG00000001100,POLDIP2,
50,ENSG00000004399,Plxnd1,ENSMUSG00000030123,PLXND1,
51,ENSG00000004455,Ak2,ENSMUSG00000028792,AK2,
52,ENSG00000004468,Cd38,ENSMUSG00000029084,CD38,
