#filter: knownGene.chrom like '%Y'	
#mm10.knownGene.chrom	mm10.kgXref.geneSymbol
chrY	1700020D14Rik
chrY	1700020D14Rik
chrY	Uba1y
chrY	Zfy1
chrY	Uba1y
chrY	Uba1y
chrY	Kdm5d
chrY	Kdm5d
chrY	Kdm5d
chrY	Kdm5d
chrY	Kdm5d
chrY	Eif2s3y
chrY	Tspy-ps
chrY	JA187517
chrY	Uty
chrY	Uty
chrY	Uty
chrY	Uty
chrY	Uty
chrY	Uty
chrY	Ddx3y
chrY	Ddx3y
chrY	Ddx3y
chrY	Usp9y
chrY	Zfy2
chrY	Gm6026
chrY	Sry
chrY	Gm16501
chrY	Gm4064
chrY	Gm4064
chrY	Rbmy
chrY	Rbmy
chrY	Gm10352
chrY	Gm10352
chrY	Rbmy
chrY	Gm21704
chrY	Rbmy
chrY	Gm21708
chrY	Gm21693
chrY	Gm21693
chrY	Gm21677
chrY	Gm21677
chrY	Rbmy
chrY	Gm21708
chrY	Rbmy
chrY	Gm21708
chrY	FJ541103
chrY	FJ541110
chrY	FJ541117
chrY	FJ541111
chrY	FJ541108
chrY	FJ541122
chrY	FJ541106
chrY	FJ541115
chrY	FJ541116
chrY	FJ541118
chrY	FJ541132
chrY	DQ907162
chrY	FJ541144
chrY	FJ541148
chrY	FJ541127
chrY	FJ541124
chrY	FJ541121
chrY	FJ541158
chrY	FJ541133
chrY	FJ541119
chrY	FJ541123
chrY	FJ541162
chrY	FJ541112
chrY	FJ541155
chrY	FJ541145
chrY	FJ541147
chrY	FJ541146
chrY	FJ541135
chrY	FJ541128
chrY	FJ541168
chrY	FJ541150
chrY	FJ541151
chrY	FJ541107
chrY	FJ541130
chrY	FJ541163
chrY	FJ541140
chrY	FJ541129
chrY	FJ541109
chrY	FJ541137
chrY	FJ541169
chrY	FJ541138
chrY	FJ541156
chrY	FJ541125
chrY	FJ541104
chrY	FJ541157
chrY	FJ541154
chrY	FJ541159
chrY	FJ541153
chrY	FJ541160
chrY	FJ541152
chrY	FJ541143
chrY	FJ541131
chrY	FJ541134
chrY	FJ541164
chrY	FJ541105
chrY	FJ541136
chrY	FJ541166
chrY	FJ541165
chrY	FJ541173
chrY	FJ541161
chrY	FJ541170
chrY	FJ541171
chrY	FJ541139
chrY	FJ541175
chrY	FJ541167
chrY	FJ541113
chrY	FJ541172
chrY	FJ541141
chrY	FJ541174
chrY	FJ541178
chrY	FJ541126
chrY	FJ541179
chrY	FJ541177
chrY	FJ541180
chrY	FJ541181
chrY	FJ541114
chrY	FJ541120
chrY	FJ541149
chrY	Gm20826
chrY	Gm20815
chrY	Gm20822
chrY	Gm20877
chrY	Rbm31y
chrY	Gm20831
chrY	Ssty1
chrY	AB349653
chrY	AK006653
chrY	Gm20822
chrY	Gm20877
chrY	Rbm31y
chrY	Gm20831
chrY	AB349653
chrY	FJ541078
chrY	FJ541082
chrY	FJ541087
chrY	FJ541075
chrY	FJ541091
chrY	FJ541085
chrY	Gm20736
chrY	Ssty1
chrY	Gm20747
chrY	Gm20865
chrY	Ssty2
chrY	Gm20736
chrY	Gm20736
chrY	Gm20917
chrY	Gm20809
chrY	Gm20857
chrY	Gm20809
chrY	Gm20857
chrY	Gm20809
chrY	Gm20857
chrY	Gm20809
chrY	Gm20857
chrY	Gm20809
chrY	Gm20857
chrY	Gm20806
chrY	Gm20806
chrY	Gm20736
chrY	Gm20837 
chrY	FJ541076
chrY	FJ541099
chrY	Gm21739 
chrY	FJ541080
chrY	FJ541090
chrY	FJ541102
chrY	Gm20837 
chrY	FJ541084
chrY	FJ541086
chrY	FJ541091
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541088
chrY	FJ541089
chrY	FJ541094
chrY	FJ541081
chrY	FJ541098
chrY	FJ541097
chrY	FJ541082
chrY	DQ874391
chrY	Gm20871
chrY	Gm20837 
chrY	FJ541076
chrY	FJ541099
chrY	Gm28490 
chrY	FJ541080
chrY	FJ541090
chrY	FJ541102
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541086
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541088
chrY	FJ541089
chrY	FJ541081
chrY	FJ541094
chrY	FJ541098
chrY	FJ541082
chrY	FJ541097
chrY	DQ874391
chrY	Sly 
chrY	AK077064
chrY	Gm20837 
chrY	FJ541076
chrY	FJ541099
chrY	Gm28490 
chrY	FJ541080
chrY	FJ541090
chrY	FJ541102
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541086
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541088
chrY	FJ541089
chrY	FJ541081
chrY	FJ541094
chrY	FJ541098
chrY	FJ541082
chrY	FJ541097
chrY	DQ874391
chrY	Gm20837 
chrY	FJ541076
chrY	Gm21739 
chrY	FJ541099
chrY	FJ541080
chrY	FJ541090
chrY	FJ541102
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541086
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541088
chrY	FJ541089
chrY	FJ541081
chrY	FJ541094
chrY	FJ541098
chrY	FJ541078
chrY	FJ541082
chrY	FJ541097
chrY	DQ874391
chrY	Gm20837 
chrY	FJ541076
chrY	Gm21739 
chrY	FJ541099
chrY	FJ541080
chrY	FJ541090
chrY	FJ541102
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541086
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541088
chrY	FJ541089
chrY	FJ541081
chrY	FJ541094
chrY	FJ541098
chrY	FJ541078
chrY	FJ541082
chrY	FJ541097
chrY	DQ874391
chrY	Gm20736
chrY	Gm20809
chrY	Gm20736
chrY	Gm20736
chrY	Gm20736
chrY	Gm20823
chrY	Sly 
chrY	AB335742
chrY	Gm29276 
chrY	Gm20837 
chrY	FJ541090
chrY	AK076905
chrY	AK006653
chrY	DQ874391
chrY	FJ541095
chrY	FJ541075
chrY	AK006653
chrY	AB335742
chrY	Gm20871
chrY	Gm20837 
chrY	FJ541076
chrY	Gm21739 
chrY	FJ541099
chrY	FJ541080
chrY	FJ541090
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541102
chrY	FJ541086
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541089
chrY	FJ541088
chrY	FJ541098
chrY	FJ541081
chrY	FJ541094
chrY	FJ541082
chrY	FJ541097
chrY	DQ874391
chrY	FJ541075
chrY	DQ874391
chrY	FJ541078
chrY	FJ541082
chrY	FJ541096
chrY	AK077064
chrY	FJ541087
chrY	FJ541094
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541080
chrY	FJ541099
chrY	FJ541090
chrY	FJ541102
chrY	FJ541091
chrY	FJ541076
chrY	FJ541075
chrY	FJ541085
chrY	FJ541086
chrY	FJ541089
chrY	Gm21739 
chrY	FJ541092
chrY	FJ541088
chrY	FJ541081
chrY	FJ541098
chrY	Gm20837 
chrY	Sly 
chrY	DQ874391
chrY	FJ541078
chrY	FJ541082
chrY	FJ541096
chrY	FJ541087
chrY	FJ541094
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541080
chrY	FJ541099
chrY	FJ541090
chrY	FJ541102
chrY	FJ541091
chrY	FJ541076
chrY	FJ541075
chrY	FJ541085
chrY	FJ541086
chrY	FJ541089
chrY	Gm21739 
chrY	FJ541092
chrY	FJ541088
chrY	FJ541081
chrY	FJ541098
chrY	Gm20837 
chrY	Gm20816
chrY	Gm20823
chrY	Gm20806
chrY	Gm20736
chrY	Gm20867
chrY	Gm20806
chrY	FJ541091
chrY	Gm20823
chrY	Gm20736
chrY	Gm20865
chrY	Gm20747
chrY	Gm20736
chrY	Gm20736
chrY	LOC100040786
chrY	AK016790
chrY	LOC380994
chrY	Sly
chrY	Gm21943
chrY	Gm20736
chrY	LOC100040786
chrY	AK016790
chrY	LOC380994
chrY	Sly
chrY	Gm21943
chrY	Sly 
chrY	Gm20837 
chrY	FJ541076
chrY	Gm21739 
chrY	FJ541099
chrY	FJ541080
chrY	FJ541090
chrY	FJ541102
chrY	Gm20837 
chrY	FJ541084
chrY	FJ541091
chrY	FJ541086
chrY	FJ541075
chrY	FJ541085
chrY	FJ541087
chrY	FJ541092
chrY	FJ541088
chrY	FJ541089
chrY	FJ541094
chrY	FJ541081
chrY	FJ541098
chrY	FJ541078
chrY	FJ541097
chrY	FJ541082
chrY	FJ541075
chrY	Gm20871
chrY	FJ541078
chrY	FJ541082
chrY	FJ541096
chrY	FJ541087
chrY	FJ541094
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541080
chrY	FJ541099
chrY	FJ541090
chrY	FJ541102
chrY	FJ541091
chrY	FJ541076
chrY	FJ541075
chrY	FJ541085
chrY	FJ541086
chrY	FJ541089
chrY	Gm21739 
chrY	FJ541092
chrY	FJ541088
chrY	FJ541081
chrY	FJ541098
chrY	Gm20837 
chrY	Sly 
chrY	DQ874391
chrY	FJ541078
chrY	FJ541082
chrY	FJ541096
chrY	FJ541087
chrY	FJ541094
chrY	FJ541084
chrY	Gm20837 
chrY	FJ541080
chrY	FJ541099
chrY	FJ541090
chrY	FJ541102
chrY	FJ541091
chrY	FJ541076
chrY	FJ541075
chrY	FJ541085
chrY	FJ541086
chrY	FJ541089
chrY	Gm21739 
chrY	FJ541092
chrY	FJ541088
chrY	FJ541081
chrY	FJ541098
chrY	Gm20837 
chrY	Gm20816
chrY	Gm20823
chrY	Gm20806
chrY	Gm20736
chrY	Gm20867
chrY	Gm20806
chrY	Gm20823
chrY	Gm20867
chrY	Gm20823
chrY	Gm20736
chrY	Gm20865
chrY	LOC100040786
chrY	Ssty2
chrY	Gm20806
chrY	FJ541091
chrY	Gm20816
chrY	Gm20736
chrY	Ssty2
chrY	AK016790
chrY	Gm20816
chrY	Gm20823
chrY	Gm20736
chrY	Gm20806
chrY	Gm20736
chrY	Gm20736
chrY	Gm20736
chrY	FJ541091
chrY	Gm20823
chrY	Gm20736
chrY	Gm20736
chrY	Gm20809
chrY	Gm20865
chrY	Gm20747
chrY	Gm21943
chrY	Gm20736
chrY	Gm20736
chrY	Sly
chrY	Gm20736
chrY	Gm20736
chrY	Gm20736
chrY	Gm20816
chrY	FJ541091
chrY	Gm20816
chrY	AK016790
chrY	Gm20806
chrY	Gm20917
chrY	Gm20736
chrY	Gm20736
chrY	Ssty2
chrY	AK016790
chrY	Gm20806
chrY	Ssty2
chrY	Gm20806
chrY	Gm20747
chrY	Gm20736
chrY	Gm20736
chrY	L04847
chrY	Sly
chrY	Gm20854
chrY	Sly
chrY	Gm20736
chrY	AK187783
chrY	Gm20736
chrY	LOC380994
chrY	Gm21996 
chrY	FJ541083
chrY	AK076905
chrY	Sly 
chrY	DQ874391
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Erdr1
chrY	Erdr1
chrY	Erdr1
chrY	Erdr1
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Mid1
chrY	Mid1
