species	MGI	UniProtKB	gene	ID
MOUSE	1347467	Q60688	Forkhead box protein D4	Foxd4
MOUSE	2451355	Q3UL53	EGAM1	Crxos
MOUSE	2670178	Q6JPI3	Mediator of RNA polymerase II transcription subunit 13-like	Med13l
MOUSE	107611	Q61116	Zinc finger protein 235	Znf235
MOUSE	97451	P80206	Homeobox protein OTX2	Otx2
MOUSE	1338765	Q8CDC8	Four and a half LIM domains 4	Fhl4
MOUSE	1925123	Q8R0A2	Zinc finger and BTB domain-containing protein 44	Zbtb44
MOUSE	1861694	Q9WUL8	Cbp/p300-interacting transactivator 4	Cited4
MOUSE	2684845	Q2VPD4	Aryl hydrocarbon receptor nuclear translocator-like protein 2	Arntl2
MOUSE	1913354	Q8R0A5	Transcription elongation factor A protein-like 3	Tceal3
MOUSE	99560	P50207	Homeobox protein Hox-C13	Hoxc13
MOUSE	2141981	E9PZQ8	Protein E430018J23Rik	E430018J23Rik
MOUSE	105369	P83917	Chromobox protein homolog 1	Cbx1
MOUSE	2159649	Q9WU01	"KH domain-containing, RNA-binding, signal transduction-associated protein 2"	Khdrbs2
MOUSE	1923431	Q80ZX2	Protein Zfp790	Zfp790
MOUSE	3588290	Q3USZ2	Upstream-binding factor 1-like protein 1	Ubtfl1
MOUSE	108056	Q02780	Nuclear factor 1 A-type	Nfia
MOUSE	1914960	P62488	DNA-directed RNA polymerase II subunit RPB7	Polr2g
MOUSE	1923151	Q91YD3	mRNA-decapping enzyme 1A	Dcp1a
MOUSE	2686498	D3YUG0	Sterile alpha motif domain-containing protein 13	Samd13
MOUSE	1096551	P60762	Mortality factor 4-like protein 1	Morf4l1
MOUSE	109160	Q9QZW9	Motor neuron and pancreas homeobox protein 1	Mnx1
MOUSE	1341190	Q9Z104	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related	Hmg20b
MOUSE	2442410	Q6PIJ4	Nuclear factor related to kappa-B-binding protein	Nfrkb
MOUSE	103573	Q00322	CCAAT/enhancer-binding protein delta	Cebpd
MOUSE	1930001	Q8C6A8	Class E basic helix-loop-helix protein 22	Bhlhe22
MOUSE	2686052	Q5HZG9	Zinc finger protein 488	Znf488
MOUSE	2142212	Q3TPQ7	Expressed sequence AW146154	AW146154
MOUSE	2682318	E9Q5N9	Protein Zfp395	Zfp395
MOUSE	2442185	Q8C9M8	Protein Zfp446	Zfp446
MOUSE	1338799	O70422	General transcription factor IIH subunit 4	Gtf2h4
MOUSE	1919970	Q640N4	Protein Zfp248	Zfp248
MOUSE	1328363	Q9QWV9	Cyclin-T1	Ccnt1
MOUSE	3652185	A2AW66	Protein Gm14322	Gm14322
MOUSE	1926154	Q6P2K3	Uncharacterized protein C3orf67 homolog	unassigned
MOUSE	5439433	J3QNV0	Protein Gm21964	Gm21964
MOUSE	1100535	Q8CFC2	Myelin transcription factor 1	Myt1
MOUSE	106907	Q62296	Transcriptional enhancer factor TEF-3	Tead4
MOUSE	1916491	Q9D7M8	DNA-directed RNA polymerase II subunit RPB4	Polr2d
MOUSE	102858	P47930	Fos-related antigen 2	Fosl2
MOUSE	1196439	Q8VDS3	Chromobox protein homolog 7	Cbx7
MOUSE	97312	P25799	Nuclear factor NF-kappa-B p105 subunit	Nfkb1
MOUSE	2449205	Q60674	Nuclear receptor subfamily 1 group D member 2	Nr1d2
MOUSE	98847	Q6PCM1	Lysine-specific demethylase 3A	Kdm3a
MOUSE	5433978	D3Z281	Uncharacterized protein	Gm21814
MOUSE	1919806	Q8VCI1	Protein Zfp566	Zfp566
MOUSE	3036250	Q4QQP3	Protein A530054K11Rik	A530054K11Rik
MOUSE	2141255	Q6PD29	Zinc finger protein 513	Znf513
MOUSE	96910	O54791	Transcription factor MafF	Maff
MOUSE	96785	Q9Z0S2	LIM/homeobox protein Lhx2	Lhx2
MOUSE	1859993	Q9JIW5	Mothers against decapentaplegic homolog 9	Smad9
MOUSE	96175	P02831	Homeobox protein Hox-A3	Hoxa3
MOUSE	3588225	Q3UYG1	Coiled-coil domain-containing protein 160	Ccdc160
MOUSE	1921571	Q91WA1	TIMELESS-interacting protein	Tipin
MOUSE	5439751	F6T2D2	Protein Gm21994	Gm21994
MOUSE	106095	P70670	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"	Naca
MOUSE	2149955	Q6PFG8	Oligodendrocyte transcription factor 3	Olig3
MOUSE	1925491	Q9D275	Basic leucine zipper transcriptional factor ATF-like 3	Batf3
MOUSE	96184	P09026	Homeobox protein Hox-B3	Hoxb3
MOUSE	103036	P42230	Signal transducer and activator of transcription 5A	Stat5a
MOUSE	1201683	O54839	Eomesodermin homolog	Eomes
MOUSE	109377	O08856	RNA polymerase II elongation factor ELL	Ell
MOUSE	3651986	A2A7A5	Protein Gm13154	Gm13154
MOUSE	1926079	Q9EQN3	TSC22 domain family protein 4	Tsc22d4
MOUSE	99480	P53566	CCAAT/enhancer-binding protein alpha	Cebpa
MOUSE	98472	P20293	Brachyury protein	T
MOUSE	2653833	Q8R4B8	"NACHT, LRR and PYD domains-containing protein 3"	Nlrp3
MOUSE	103219	P32443	Homeobox protein MOX-2	Meox2
MOUSE	1917360	Q9D8C4	Interferon-induced 35 kDa protein homolog	Ifi35
MOUSE	99695	Q60598	Src substrate cortactin	Cttn
MOUSE	96908	P50538	Max dimerization protein 1	Mxd1
MOUSE	3780549	G3UY53	Protein Gm2381	Gm2381
MOUSE	1891441	Q99388	Component of Sp100-rs	Csprs
MOUSE	1858746	Q8BRB7	Histone acetyltransferase KAT6B	Kat6b
MOUSE	1277212	E9QA22	Protein Zfp644	Zfp644
MOUSE	1921783	Q4VBD9	GDNF-inducible zinc finger protein 1	Gzf1
MOUSE	1926033	Q3U109	Protein Brpf1	Brpf1
MOUSE	2143628	Q8BLB7	Lethal(3)malignant brain tumor-like protein 3	L3mbtl3
MOUSE	102564	P31361	"POU domain, class 3, transcription factor 3"	Pou3f3
MOUSE	1929099	Q9R166	Protein Zfp109	Zfp109
MOUSE	2686934	Q2MHN3	Protein Zfhx2	Zfhx2
MOUSE	98361	Q04891	Transcription factor SOX-13	Sox13
MOUSE	2687042	Q8BKR5	Protein phosphatase 1 regulatory subunit 37	Ppp1r37
MOUSE	2149593	Q9WVB3	Transducin-like enhancer protein 6	Tle6
MOUSE	2136980	Q3UXZ9	Lysine-specific demethylase 5A	Kdm5a
MOUSE	2445100	Q8BIQ8	Zinc finger protein 770	Znf770
MOUSE	1347479	O54743	Forkhead box protein F2	Foxf2
MOUSE	1355275	Q9QY61	Iroquois-class homeodomain protein IRX-4	Irx4
MOUSE	96190	P20615	Homeobox protein Hox-B9	Hoxb9
MOUSE	96209	P23463	Homeobox protein Hox-D8	Hoxd8
MOUSE	1921399	Q8K3B4	Protein Zfp946	Zfp946
MOUSE	1929117	Q499D5	Protein Zfp235	Zfp235
MOUSE	1347488	P42128	Forkhead box protein K1	Foxk1
MOUSE	107342	Q99KE8	Zinc finger protein 64	Zfp64
MOUSE	95456	P15037	Protein C-ets-2	Ets2
MOUSE	1289293	Q810A1	Zinc finger protein 18	Znf18
MOUSE	108023	P97769	Cbp/p300-interacting transactivator 1	Cited1
MOUSE	1918025	A2A484	Protein Zmynd8	Zmynd8
MOUSE	2442757	Q2TL60	Zinc finger protein 667	Znf667
MOUSE	97311	P70257	Nuclear factor 1 X-type	Nfix
MOUSE	2153710	Q8BGW3	Class E basic helix-loop-helix protein 23	Bhlhe23
MOUSE	3770275	A2ANE0	MCG113260	Rhox2f
MOUSE	1921793	G5E905	Protein Zfp871	Zfp871
MOUSE	97486	P32114	Paired box protein Pax-2	Pax2
MOUSE	106589	A2A884	Transcription factor HIVEP3	Hivep3
MOUSE	3649811	A2ARR8	Protein Gm14409	Gm14409
MOUSE	108070	Q80YP6	Zinc finger protein interacting with ribonucleoprotein K	Zik1
MOUSE	107179	P48755	Fos-related antigen 1	Fosl1
MOUSE	98504	P22361	Hepatocyte nuclear factor 1-alpha	Hnf1a
MOUSE	1347487	O08696	Forkhead box protein M1	Foxm1
MOUSE	3702972	Q3UTC4	Protein Gm10696	Gm10696
MOUSE	88373	P28033	CCAAT/enhancer-binding protein beta	Cebpb
MOUSE	1916603	Q9D2A5	Cyclic AMP-responsive element-binding protein 3-like protein 4	Creb3l4
MOUSE	3701604	Q8R1N3	"Predicted gene, OTTMUSG00000010657"	Gm13139
MOUSE	2149033	E9PXV9	Protein Obox2	Obox2
MOUSE	88071	P53762	Aryl hydrocarbon receptor nuclear translocator	Arnt
MOUSE	1933946	Q91VU8	Prostate tumor-overexpressed gene 1 protein homolog	Ptov1
MOUSE	2143977	Q6P5G3	MBT domain-containing protein 1	Mbtd1
MOUSE	1352460	Q61066	Nuclear receptor subfamily 0 group B member 1	Nr0b1
MOUSE	107726	Q62383	Transcription elongation factor SPT6	Supt6h
MOUSE	1917194	Q8BIB6	Protein 2810021J22Rik	2810021J22Rik
MOUSE	103262	P46938	Yorkie homolog	Yap1
MOUSE	1923615	Q9EPZ6	T-box transcription factor TBX18	Tbx18
MOUSE	2139916	Q8BQM9	Mediator of RNA polymerase II transcription subunit 12-like protein	Med12l
