Entry	Entry name	Protein names	Gene names	Organism	Length	Interacts with	Cross-reference (BioGrid)	Cross-reference (DIP)	Cross-reference (IntAct)	Cross-reference (MINT)	Cross-reference (STRING)	Caution	Miscellaneous [CC]
Q01705	NOTC1_MOUSE	Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	Notch1 Motch	Mus musculus (Mouse)	2531	Q77CA8; Q06330; P31266; P28159	201808;	DIP-214N;	Q01705;	MINT-142586;	10090.ENSMUSP00000028288;		
P21803	FGFR2_MOUSE	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (Keratinocyte growth factor receptor) (KGFR) (CD antigen CD332)	Fgfr2 Bek Ect1	Mus musculus (Mouse)	821	P13595	199657;	DIP-6038N;	P21803;		10090.ENSMUSP00000112430;		
O88572	LRP6_MOUSE	Low-density lipoprotein receptor-related protein 6 (LRP-6)	Lrp6	Mus musculus (Mouse)	1613		201203;	DIP-46460N;	O88572;		10090.ENSMUSP00000032322;		
Q9Z1M0	P2RX7_MOUSE	P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)	P2rx7 P2x7	Mus musculus (Mouse)	595		202002;				10090.ENSMUSP00000098303;		
P31809	CEAM1_MOUSE	Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (Biliary glycoprotein D) (MHVR1) (Murine hepatitis virus receptor) (MHV-R) (CD antigen CD66a)	Ceacam1 Bgp Bgp1	Mus musculus (Mouse)	521			DIP-61461N;	P31809;	MINT-4590618;	10090.ENSMUSP00000096266;		
P05532	KIT_MOUSE	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (CD antigen CD117)	Kit Sl	Mus musculus (Mouse)	979		200957;	DIP-59622N;	P05532;		10090.ENSMUSP00000005815;		"MISCELLANEOUS: Numerous proteins are phosphorylated in response to KIT signaling, but it is not evident to determine which are directly phosphorylated by KIT under in vivo conditions."
P61168	DRD2_MOUSE	D(2) dopamine receptor (Dopamine D2 receptor)	Drd2	Mus musculus (Mouse)	444		199306;		P61168;	MINT-5313868;	10090.ENSMUSP00000075170;		
P56726	SMO_MOUSE	Smoothened homolog (SMO)	Smo Smoh	Mus musculus (Mouse)	793		235504;		P56726;		10090.ENSMUSP00000001812;		
P09055	ITB1_MOUSE	Integrin beta-1 (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29)	Itgb1	Mus musculus (Mouse)	798	P26955; Q01768; Q6F5E0; Q91YD9	200826;	DIP-46247N;	P09055;	MINT-1573412;	10090.ENSMUSP00000087457;		
P16092	FGFR1_MOUSE	Fibroblast growth factor receptor 1 (FGFR-1) (bFGF-R-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (MFR) (Proto-oncogene c-Fgr) (CD antigen CD331)	Fgfr1 Flg	Mus musculus (Mouse)	822	P13596	199656;	DIP-6033N;	P16092;	MINT-2635590;	10090.ENSMUSP00000081041;		
